날짜,price
2002년 1월,"3,300"
2002년 2월,"3,264"
2002년 3월,"3,024"
2002년 4월,"2,922"
2002년 5월,"2,754"
2002년 6월,"2,958"
2002년 7월,"2,676"
2002년 8월,"2,676"
2002년 9월,"3,234"
2002년 10월,"2,832"
2002년 11월,"2,670"
2002년 12월,"2,640"
2003년 1월,"2,750"
2003년 2월,"2,730"
2003년 3월,"2,665"
2003년 4월,"2,802"
2003년 5월,"2,670"
2003년 6월,"2,700"
2003년 7월,"2,682"
2003년 8월,"2,700"
2003년 9월,"2,856"
2003년 10월,"2,700"
2003년 11월,"2,718"
2003년 12월,"2,718"
2004년 1월,"2,766"
2004년 2월,"2,700"
2004년 3월,"3,150"
2004년 4월,"3,648"
2004년 5월,"3,516"
2004년 6월,"3,528"
2004년 7월,"3,570"
2004년 8월,"3,744"
2004년 9월,"4,326"
2004년 10월,"4,476"
2004년 11월,"4,440"
2004년 12월,"4,260"
2005년 1월,"4,463"
2005년 2월,"4,683"
2005년 3월,"4,700"
2005년 4월,"4,747"
2005년 5월,"4,855"
2005년 6월,"4,841"
2005년 7월,"4,475"
2005년 8월,"4,268"
2005년 9월,"4,150"
2005년 10월,"4,185"
2005년 11월,"3,903"
2005년 12월,"3,840"
2006년 1월,"3,738"
2006년 2월,"3,748"
2006년 3월,"3,688"
2006년 4월,"3,723"
2006년 5월,"3,708"
2006년 6월,"3,825"
2006년 7월,"3,825"
2006년 8월,"3,833"
2006년 9월,"3,833"
2006년 10월,"3,921"
2006년 11월,"3,840"
2006년 12월,"3,828"
2007년 1월,"3,825"
2007년 2월,"3,755"
2007년 3월,"3,715"
2007년 4월,"3,662"
2007년 5월,"3,594"
2007년 6월,"3,726"
2007년 7월,"3,748"
2007년 8월,"3,769"
2007년 9월,"3,828"
2007년 10월,"4,036"
2007년 11월,"4,062"
2007년 12월,"4,238"
2008년 1월,"4,344"
2008년 2월,"4,594"
2008년 3월,"4,617"
2008년 4월,"4,976"
2008년 5월,"4,860"
2008년 6월,"4,854"
2008년 7월,"4,827"
2008년 8월,"4,778"
2008년 9월,"4,958"
2008년 10월,"5,031"
2008년 11월,"5,031"
2008년 12월,"5,243"
2009년 1월,"5,566"
2009년 2월,"5,460"
2009년 3월,"5,226"
2009년 4월,"5,186"
2009년 5월,"5,262"
2009년 6월,"5,433"
2009년 7월,"5,320"
2009년 8월,"5,398"
2009년 9월,"5,320"
2009년 10월,"5,528"
2009년 11월,"5,300"
2009년 12월,"5,142"
2010년 1월,"5,124"
2010년 2월,"5,160"
2010년 3월,"5,124"
2010년 4월,"5,019"
2010년 5월,"5,077"
2010년 6월,"4,771"
2010년 7월,"4,907"
2010년 8월,"4,861"
2010년 9월,"5,294"
2010년 10월,"5,456"
2010년 11월,"5,492"
2010년 12월,"5,699"
2011년 1월,"5,767"
2011년 2월,"6,124"
2011년 3월,"6,063"
2011년 4월,"6,376"
2011년 5월,"6,359"
2011년 6월,"6,322"
2011년 7월,"6,177"
2011년 8월,"5,795"
2011년 9월,"6,133"
2011년 10월,"5,415"
2011년 11월,"5,747"
2011년 12월,"5,560"
2012년 1월,"5,824"
2012년 2월,"5,395"
2012년 3월,"4,909"
2012년 4월,"5,525"
2012년 5월,"5,175"
2012년 6월,"5,233"
2012년 7월,"4,956"
2012년 8월,"4,823"
2012년 9월,"5,137"
2012년 10월,"5,329"
2012년 11월,"4,892"
2012년 12월,"5,092"
2013년 1월,"4,590"
2013년 2월,"5,038"
2013년 3월,"4,875"
2013년 4월,"5,097"
2013년 5월,"5,503"
2013년 6월,"5,394"
2013년 7월,"5,388"
2013년 8월,"5,448"
2013년 9월,"5,874"
2013년 10월,"5,639"
2013년 11월,"5,854"
2013년 12월,"5,963"
2014년 1월,"5,967"
2014년 2월,"6,097"
2014년 3월,"5,706"
2014년 4월,"6,070"
2014년 5월,"6,091"
2014년 6월,"6,024"
2014년 7월,"5,674"
2014년 8월,"6,010"
2014년 9월,"5,981"
2014년 10월,"5,720"
2014년 11월,"5,969"
2014년 12월,"6,044"
2015년 1월,"5,925"
2015년 2월,"5,920"
2015년 3월,"5,848"
2015년 4월,"5,891"
2015년 5월,"5,907"
2015년 6월,"5,815"
2015년 7월,"5,818"
2015년 8월,"5,777"
2015년 9월,"5,718"
2015년 10월,"5,733"
2015년 11월,"5,659"
2015년 12월,"5,184"
2016년 1월,"5,513"
2016년 2월,"5,478"
2016년 3월,"5,051"
2016년 4월,"5,054"
2016년 5월,"5,320"
2016년 6월,"4,884"
2016년 7월,"5,386"
2016년 8월,"5,422"
2016년 9월,"5,624"
2016년 10월,"5,608"
2016년 11월,"5,645"
2016년 12월,"5,826"
2017년 1월,"9,367"
2017년 2월,"7,892"
2017년 3월,"7,272"
2017년 4월,"7,509"
2017년 5월,"7,901"
2017년 6월,"7,967"
2017년 7월,"7,969"
2017년 8월,"7,569"
2017년 9월,"5,784"
2017년 10월,"5,490"
2017년 11월,"5,839"
2017년 12월,"5,717"
2018년 1월,"5,376"
2018년 2월,"5,299"
2018년 3월,"4,777"
2018년 4월,"4,072"
2018년 5월,"4,364"
2018년 6월,"4,105"
2018년 7월,"4,085"
2018년 8월,"4,733"
2018년 9월,"5,524"
2018년 10월,"5,501"
2018년 11월,"5,256"
2018년 12월,"5,102"
2019년 1월,"4,972"
2019년 2월,"4,923"
2019년 3월,"4,690"
2019년 4월,"5,131"
2019년 5월,"5,315"
2019년 6월,"5,137"
2019년 7월,"5,133"
2019년 8월,"4,954"
2019년 9월,"5,265"
2019년 10월,"5,435"
2019년 11월,"5,479"
2019년 12월,"5,379"
2020년 1월,"5,315"
2020년 2월,"5,218"
2020년 3월,"5,263"
2020년 4월,"5,419"
2020년 5월,"5,322"
2020년 6월,"5,170"
2020년 7월,"5,167"
2020년 8월,"5,146"
2020년 9월,"5,649"
2020년 10월,"5,463"
2020년 11월,"5,581"
2020년 12월,"5,554"
2021년 1월,"6,082"
2021년 2월,"7,481"
2021년 3월,"7,644"
2021년 4월,"7,563"
2021년 5월,"7,323"
2021년 6월,"7,557"
2021년 7월,"7,546"
2021년 8월,"7,079"
2021년 9월,"6,524"
2021년 10월,"6,148"
2021년 11월,"5,962"
2021년 12월,"6,226"
2022년 1월,"6,347"
2022년 2월,"6,219"
2022년 3월,"6,273"
