"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 4월","576.20","540.00","577.10","536.60","3.25K","6.41%"
"2022년 3월","541.50","499.20","563.70","497.30","119.60K","9.17%"
"2022년 2월","496.00","494.60","512.60","478.80","102.80K","0.71%"
"2022년 1월","492.50","495.00","514.80","477.60","99.29K","-0.93%"
"2021년 12월","497.10","490.10","515.80","482.50","64.34K","2.37%"
"2021년 11월","485.60","508.90","530.60","484.80","84.49K","-4.62%"
"2021년 10월","509.10","511.00","527.30","496.80","78.68K","-0.72%"
"2021년 9월","512.80","485.60","519.60","462.90","74.41K","6.10%"
"2021년 8월","483.30","446.00","510.30","442.60","87.52K","8.44%"
"2021년 7월","445.70","449.90","464.00","412.50","75.81K","-0.45%"
"2021년 6월","447.70","465.70","470.70","416.30","99.29K","-2.59%"
"2021년 5월","459.60","447.30","483.80","444.30","68.54K","2.50%"
"2021년 4월","448.40","421.10","481.10","414.30","86.75K","6.76%"
"2021년 3월","420.00","459.40","468.00","419.10","99.55K","-7.71%"
"2021년 2월","455.10","457.70","490.10","452.20","96.02K","-0.22%"
"2021년 1월","456.10","424.00","468.70","423.70","130.65K","8.36%"
"2020년 12월","420.90","399.90","422.00","389.30","73.45K","5.54%"
"2020년 11월","398.80","389.90","425.70","387.50","83.07K","2.13%"
"2020년 10월","390.50","374.10","405.00","369.00","101.80K","4.05%"
"2020년 9월","375.30","360.90","378.90","345.20","105.95K","4.34%"
"2020년 8월","359.70","380.20","383.80","358.30","76.11K","-5.74%"
"2020년 7월","381.60","357.90","382.70","332.00","91.03K","7.28%"
"2020년 6월","355.70","366.30","398.50","343.50","111.69K","-1.79%"
"2020년 5월","362.20","337.00","379.00","333.00","91.25K","7.73%"
"2020년 4월","336.20","351.90","354.50","305.00","110.48K","-4.79%"
"2020년 3월","353.10","400.00","405.00","331.60","161.66K","-10.97%"
"2020년 2월","396.60","406.80","456.60","391.60","119.58K","-2.36%"
"2020년 1월","406.20","359.70","416.50","351.30","194.42K","13.08%"
"2019년 12월","359.20","344.90","362.00","341.80","103.30K","4.15%"
"2019년 11월","344.90","337.80","350.00","322.60","128.29K","1.92%"
"2019년 10월","338.40","344.80","347.90","332.90","145.25K","-1.71%"
"2019년 9월","344.30","301.10","345.80","300.00","193.49K","14.16%"
"2019년 8월","301.60","324.00","326.90","301.00","122.70K","-6.91%"
"2019년 7월","324.00","330.00","330.30","291.50","152.71K","-1.34%"
"2019년 6월","328.40","327.80","339.70","318.90","132.88K","-0.67%"
"2019년 5월","330.60","335.20","335.20","318.10","117.03K","-1.28%"
"2019년 4월","334.90","323.70","344.70","320.70","124.99K","3.11%"
"2019년 3월","324.80","348.00","348.90","323.60","142.05K","-6.67%"
"2019년 2월","348.00","341.10","361.60","323.40","119.66K","1.96%"
"2019년 1월","341.30","334.00","355.80","323.60","127.22K","2.65%"
"2018년 12월","332.50","350.80","353.00","332.30","70.06K","-4.51%"
"2018년 11월","348.20","355.30","361.50","329.30","101.75K","-2.11%"
"2018년 10월","355.70","319.80","390.70","313.70","180.53K","10.98%"
"2018년 9월","320.50","325.40","338.40","310.60","126.37K","-1.66%"
"2018년 8월","325.90","318.40","329.60","300.50","138.16K","2.52%"
"2018년 7월","317.90","348.00","349.30","315.20","111.06K","-9.04%"
"2018년 6월","349.50","355.50","360.00","335.00","120.91K","-1.44%"
"2018년 5월","354.60","331.10","356.30","315.40","119.67K","7.19%"
"2018년 4월","330.80","352.00","355.20","311.40","144.78K","-5.81%"
"2018년 3월","351.20","361.10","370.30","345.10","160.40K","-2.80%"
"2018년 2월","361.30","352.50","364.00","349.50","139.00K","2.53%"
"2018년 1월","352.40","394.80","401.00","350.50","169.73K","-10.72%"
"2017년 12월","394.70","389.10","395.00","360.30","107.75K","1.10%"
