"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 4월","78.36","70.04","78.97","68.84","60.39K","12.04%"
"2022년 3월","69.94","73.72","83.54","69.80","497.88K","-4.05%"
"2022년 2월","72.89","64.96","74.72","62.70","817.30K","12.45%"
"2022년 1월","64.82","57.21","66.77","56.17","502.08K","15.13%"
"2021년 12월","56.30","55.35","58.35","51.00","290.59K","2.16%"
"2021년 11월","55.11","61.30","62.44","54.67","813.54K","-10.05%"
"2021년 10월","61.27","58.54","65.00","57.91","529.38K","4.22%"
"2021년 9월","58.79","59.59","59.66","54.27","192.25K","-0.96%"
"2021년 8월","59.36","64.81","65.78","57.12","197.12K","-9.81%"
"2021년 7월","65.82","64.75","69.18","61.51","217.16K","1.01%"
"2021년 6월","65.16","66.13","73.74","55.49","1.08M","-0.96%"
"2021년 5월","65.79","71.54","72.32","64.23","472.91K","-3.90%"
"2021년 4월","68.46","52.92","70.86","50.96","729.74K","29.37%"
"2021년 3월","52.92","51.75","58.25","50.22","797.29K","3.08%"
"2021년 2월","51.34","44.75","52.13","43.33","894.65K","15.06%"
"2021년 1월","44.62","43.63","45.58","41.01","666.74K","2.98%"
"2020년 12월","43.33","38.01","43.55","36.83","390.80K","14.39%"
"2020년 11월","37.88","33.48","39.32","33.02","1.03M","12.70%"
"2020년 10월","33.61","33.45","34.82","31.81","781.39K","0.72%"
"2020년 9월","33.37","33.00","35.51","32.02","158.92K","1.24%"
"2020년 8월","32.96","30.90","34.22","30.90","163.49K","6.63%"
"2020년 7월","30.91","27.89","30.94","27.76","316.45K","10.47%"
"2020년 6월","27.98","27.36","28.68","26.89","1.13M","2.19%"
"2020년 5월","27.38","26.21","27.74","25.48","551.51K","4.38%"
"2020년 4월","26.23","26.85","27.80","24.64","951.66K","-2.89%"
"2020년 3월","27.01","28.36","29.73","24.68","778.19K","-4.59%"
"2020년 2월","28.31","29.94","31.96","28.02","1.20M","-5.44%"
"2020년 1월","29.94","34.90","35.36","29.88","895.44K","-13.19%"
"2019년 12월","34.49","30.40","35.22","29.94","535.72K","13.38%"
"2019년 11월","30.42","30.78","31.96","30.12","1.16M","-1.07%"
"2019년 10월","30.75","28.99","31.52","28.80","816.60K","6.07%"
"2019년 9월","28.99","28.51","30.26","28.09","220.45K","1.22%"
"2019년 8월","28.64","27.78","29.60","27.50","257.34K","3.21%"
"2019년 7월","27.75","28.27","28.72","27.42","355.38K","-1.74%"
"2019년 6월","28.24","27.59","28.72","26.93","1.12M","2.36%"
"2019년 5월","27.59","27.69","28.23","26.03","758.89K","0.04%"
"2019년 4월","27.58","28.37","29.40","27.20","1.14M","-2.75%"
"2019년 3월","28.36","29.96","30.32","28.34","595.97K","-5.34%"
"2019년 2월","29.96","30.39","31.01","29.62","1.11M","-0.70%"
"2019년 1월","30.17","27.62","30.48","27.60","633.66K","9.51%"
"2018년 12월","27.55","28.19","28.90","27.27","400.52K","-0.97%"
"2018년 11월","27.82","28.03","28.56","26.95","1.16M","-0.71%"
"2018년 10월","28.02","28.70","29.88","27.75","636.85K","-2.30%"
"2018년 9월","28.68","28.40","29.11","26.88","248.37K","1.09%"
"2018년 8월","28.37","28.68","28.76","27.74","241.48K","-1.25%"
"2018년 7월","28.73","29.10","29.13","27.57","295.55K","-1.34%"
