,날짜,price
0,2019년 1월,"3,380"
1,2019년 2월,"3,380"
2,2019년 3월,"3,380"
3,2019년 4월,"3,380"
4,2019년 5월,"3,380"
5,2019년 6월,"3,380"
6,2019년 7월,"3,380"
7,2019년 8월,"3,380"
8,2019년 9월,"3,380"
9,2019년 10월,"3,380"
10,2019년 11월,"3,380"
11,2019년 12월,"3,380"
12,2020년 1월,"3,380"
13,2020년 2월,"3,380"
14,2020년 3월,"3,380"
15,2020년 4월,"3,380"
16,2020년 5월,"3,380"
17,2020년 6월,"3,380"
18,2020년 7월,"3,380"
19,2020년 8월,"3,380"
20,2020년 9월,"3,380"
21,2020년 10월,"3,380"
22,2020년 11월,"3,380"
23,2020년 12월,"3,380"
24,2021년 1월,"3,380"
25,2021년 2월,"3,380"
26,2021년 3월,"3,380"
27,2021년 4월,"3,380"
28,2021년 5월,"3,380"
29,2021년 6월,"3,380"
30,2021년 7월,"3,380"
31,2021년 8월,"3,380"
32,2021년 9월,"3,680"
33,2021년 10월,"3,680"
34,2021년 11월,"3,680"
35,2021년 12월,"3,680"
36,2022년 1월,"3,680"
37,2022년 2월,"3,680"
38,2022년 3월,"3,680"
39,2022년 4월,"3,680"
