"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 4월","666.90","557.50","779.60","556.00","0.18K","-8.33%"
"2022년 3월","727.50","700.00","760.00","645.25","3.10K","4.56%"
"2022년 2월","695.75","699.75","779.50","635.25","6.37K","0.04%"
"2022년 1월","695.50","689.25","715.50","600.75","7.40K","1.83%"
"2021년 12월","683.00","723.00","744.00","650.00","4.45K","-5.52%"
"2021년 11월","722.90","711.80","769.90","703.85","3.61K","-0.94%"
"2021년 10월","729.75","580.25","733.75","570.25","10.21K","25.33%"
"2021년 9월","582.25","514.00","594.50","493.00","5.88K","17.33%"
"2021년 8월","496.25","442.75","533.25","441.00","1.17K","11.08%"
"2021년 7월","446.75","432.75","470.50","424.00","1.40K","16.34%"
"2021년 6월","384.00","379.25","409.25","355.50","8.22K","1.72%"
"2021년 5월","377.50","406.25","406.25","350.50","3.70K","-5.86%"
"2021년 4월","401.00","381.50","410.75","370.75","5.05K","5.87%"
"2021년 3월","378.75","374.50","391.75","349.25","3.28K","0.60%"
"2021년 2월","376.50","351.25","378.00","341.25","4.98K","7.73%"
"2021년 1월","349.50","361.00","370.00","340.50","5.66K","-3.12%"
"2020년 12월","360.75","283.25","363.00","283.00","3.38K","26.69%"
"2020년 11월","284.75","297.50","310.00","283.00","8.40K","-4.21%"
"2020년 10월","297.25","286.00","309.75","280.50","7.77K","4.02%"
"2020년 9월","285.75","276.00","291.25","267.00","6.06K","4.19%"
"2020년 8월","274.25","277.00","280.50","260.00","1.22K","-0.72%"
"2020년 7월","276.25","334.00","345.00","270.00","0.74K","-17.17%"
"2020년 6월","333.50","324.00","350.00","299.00","10.21K","2.85%"
"2020년 5월","324.25","315.00","335.25","303.00","5.16K","5.62%"
"2020년 4월","307.00","264.00","347.25","259.00","5.44K","16.18%"
"2020년 3월","264.25","263.25","274.00","248.25","4.44K","-1.67%"
"2020년 2월","268.75","302.75","310.00","268.00","7.64K","-11.52%"
"2020년 1월","303.75","292.25","317.00","287.75","8.13K","4.02%"
"2019년 12월","292.00","326.50","331.50","283.00","4.17K","-9.11%"
"2019년 11월","321.25","300.25","326.75","297.25","10.56K","8.07%"
"2019년 10월","297.25","275.75","309.00","275.25","10.29K","7.80%"
"2019년 9월","275.75","259.00","283.75","259.00","4.28K","5.15%"
"2019년 8월","262.25","257.00","283.75","246.50","1.43K","2.44%"
"2019년 7월","256.00","289.25","289.25","255.00","1.52K","-6.23%"
"2019년 6월","273.00","317.00","319.00","268.00","11.73K","-13.20%"
"2019년 5월","314.50","310.00","325.00","270.00","6.57K","3.11%"
"2019년 4월","305.00","273.00","320.00","271.50","9.49K","13.38%"
"2019년 3월","269.00","256.50","284.50","256.50","4.26K","6.75%"
"2019년 2월","252.00","283.75","294.50","250.50","8.70K","-10.80%"
"2019년 1월","282.50","275.25","303.50","273.75","8.04K","2.63%"
"2018년 12월","275.25","287.75","295.00","271.25","3.53K","-4.51%"
"2018년 11월","288.25","277.00","318.25","267.50","10.48K","4.25%"
"2018년 10월","276.50","266.25","307.00","265.50","14.57K","4.44%"
"2018년 9월","264.75","239.50","267.25","235.75","4.72K","8.73%"
"2018년 8월","243.50","236.75","269.00","235.00","3.02K","3.29%"
"2018년 7월","235.75","248.00","265.00","227.25","1.49K","-5.89%"
"2018년 6월","250.50","246.00","255.25","226.00","8.64K","2.35%"
"2018년 5월","244.75","226.00","254.00","226.00","5.16K","8.54%"
"2018년 4월","225.50","226.50","241.00","215.00","10.38K","0.22%"
"2018년 3월","225.00","261.50","269.50","221.50","7.68K","-14.45%"
"2018년 2월","263.00","265.75","280.50","255.25","6.82K","-0.94%"
"2018년 1월","265.50","240.75","279.00","238.75","11.72K","10.17%"
"2017년 12월","241.00","245.75","256.75","223.25","3.34K","-2.72%"
"2017년 11월","247.75","266.00","277.50","240.00","10.03K","-6.42%"
"2017년 10월","264.75","252.00","282.75","245.50","8.18K","5.37%"
"2017년 9월","251.25","233.75","253.25","232.50","3.55K","12.42%"
"2017년 8월","223.50","286.00","294.50","223.50","2.30K","-21.37%"
"2017년 7월","284.25","290.00","312.25","272.00","1.38K","-1.98%"
"2017년 6월","290.00","248.00","305.00","237.75","12.96K","17.17%"
"2017년 5월","247.50","238.75","251.00","226.75","4.51K","4.21%"
"2017년 4월","237.50","224.25","239.00","213.75","8.73K","5.91%"
"2017년 3월","224.25","256.50","271.25","221.25","5.64K","-13.08%"
"2017년 2월","258.00","245.50","264.75","245.00","8.21K","5.63%"
"2017년 1월","244.25","230.00","268.50","225.00","10.93K","6.89%"
"2016년 12월","228.50","202.00","233.25","198.00","3.73K","14.68%"
