"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 4월","332.50","302.00","332.50","300.00","0.04K","8.13%"
"2022년 3월","307.50","292.00","318.00","292.00","0.81K","22.73%"
"2022년 2월","250.55","216.05","216.05","216.05","-","16.67%"
"2022년 1월","214.75","219.75","219.75","219.75","-","-2.50%"
"2021년 12월","220.25","224.55","224.55","224.55","-","-1.91%"
"2021년 11월","224.55","214.00","238.75","214.00","0.08K","4.95%"
"2021년 10월","213.95","200.60","214.00","199.00","2.42K","6.66%"
"2021년 9월","200.60","195.00","203.00","181.65","4.22K","3.27%"
"2021년 8월","194.25","184.00","199.20","182.50","7.07K","6.44%"
"2021년 7월","182.50","187.00","187.00","164.00","3.22K","-3.95%"
"2021년 6월","190.00","203.00","203.00","187.50","0.09K","-2.56%"
"2021년 5월","195.00","206.50","215.00","191.95","1.28K","-4.65%"
"2021년 4월","204.50","192.05","212.00","188.25","2.26K","5.41%"
"2021년 3월","194.00","204.00","204.00","188.00","0.59K","-6.46%"
"2021년 2월","207.40","205.00","207.50","203.00","0.16K","-0.10%"
"2021년 1월","207.60","204.00","207.50","204.00","0.04K","4.58%"
"2020년 12월","198.50","190.00","198.00","190.00","0.05K","3.25%"
"2020년 11월","192.25","190.00","193.50","188.00","0.11K","2.23%"
"2020년 10월","188.05","184.50","190.00","180.00","2.23K","2.37%"
"2020년 9월","183.70","169.00","184.50","167.75","6.45K","8.70%"
"2020년 8월","169.00","164.50","169.50","161.00","3.61K","1.90%"
"2020년 7월","165.85","168.00","171.00","164.00","2.45K","3.04%"
"2020년 6월","160.95","162.75","162.75","157.00","0.01K","-1.62%"
"2020년 5월","163.60","151.00","161.50","150.00","0.12K","7.99%"
"2020년 4월","151.50","158.00","160.00","148.50","1.93K","-3.96%"
"2020년 3월","157.75","165.00","165.90","156.40","0.95K","7.68%"
"2020년 2월","146.50","151.00","151.00","151.00","0.01K","-2.04%"
"2020년 1월","149.55","146.50","154.70","146.50","0.14K","2.08%"
"2019년 12월","146.50","142.00","147.00","141.00","0.06K","1.84%"
"2019년 11월","143.85","145.50","145.50","143.00","0.03K","3.41%"
"2019년 10월","139.10","140.00","140.50","133.50","3.31K","0.07%"
"2019년 9월","139.00","131.00","140.35","129.30","3.99K","5.70%"
"2019년 8월","131.50","147.00","147.25","130.50","5.94K","-10.70%"
"2019년 7월","147.25","148.60","149.75","143.35","4.34K","0.37%"
"2019년 6월","146.70","156.00","156.00","148.00","0.03K","-5.60%"
"2019년 5월","155.40","161.00","161.00","153.50","0.13K","-3.60%"
"2019년 4월","161.20","163.25","167.70","160.85","2.48K","-1.41%"
"2019년 3월","163.50","164.55","165.05","163.25","0.90K","1.30%"
"2019년 2월","161.40","170.00","170.00","170.00","0.01K","-4.69%"
"2019년 1월","169.35","174.00","174.00","173.00","0.05K","-1.88%"
"2018년 12월","172.60","172.60","172.60","172.60","-","1.68%"
"2018년 11월","169.75","171.00","171.50","167.00","0.54K","-0.73%"
"2018년 10월","171.00","176.00","180.00","169.50","2.32K","-2.92%"
"2018년 9월","176.15","183.00","183.00","170.90","4.20K","-3.29%"
"2018년 8월","182.15","188.00","195.50","176.00","9.14K","-2.25%"
"2018년 7월","186.35","150.65","190.20","150.65","4.77K","24.65%"
"2018년 6월","149.50","155.00","157.00","146.00","0.31K","-4.47%"
"2018년 5월","156.50","144.00","156.50","142.50","0.21K","9.06%"
