"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 4월","2,087.00","2,165.00","2,177.00","2,061.00","3.35K","-3.60%"
"2022년 3월","2,165.00","2,251.00","2,280.00","2,118.00","21.89K","-3.31%"
"2022년 2월","2,239.00","2,178.00","2,373.00","2,176.00","85.64K","2.94%"
"2022년 1월","2,175.00","2,472.00","2,472.00","2,161.00","32.15K","-12.58%"
"2021년 12월","2,488.00","2,258.00","2,499.00","2,258.00","83.36K","10.09%"
"2021년 11월","2,260.00","2,301.00","2,366.00","2,211.00","20.88K","-0.70%"
"2021년 10월","2,276.00","2,114.00","2,344.00","2,075.00","95.57K","7.06%"
"2021년 9월","2,126.00","2,052.00","2,224.00","2,020.00","23.51K","5.09%"
"2021년 8월","2,023.00","1,791.00","2,064.00","1,724.00","94.21K","13.27%"
"2021년 7월","1,786.00","1,736.00","1,969.00","1,677.00","34.61K","3.78%"
"2021년 6월","1,721.00","1,574.00","1,745.00","1,554.00","136.30K","8.72%"
"2021년 5월","1,583.00","1,465.00","1,602.00","1,460.00","37.89K","11.64%"
"2021년 4월","1,418.00","1,350.00","1,434.00","1,316.00","93.92K","5.66%"
"2021년 3월","1,342.00","1,461.00","1,462.00","1,331.00","32.88K","-7.96%"
"2021년 2월","1,458.00","1,304.00","1,448.00","1,293.00","104.45K","11.64%"
"2021년 1월","1,306.00","1,354.00","1,354.00","1,291.00","27.64K","-4.95%"
"2020년 12월","1,374.00","1,404.00","1,409.00","1,293.00","88.79K","-1.93%"
"2020년 11월","1,401.00","1,317.00","1,426.00","1,300.00","25.98K","4.63%"
"2020년 10월","1,339.00","1,308.00","1,342.00","1,214.00","106.55K","2.61%"
"2020년 9월","1,305.00","1,542.00","1,556.00","1,277.00","34.48K","-14.26%"
"2020년 8월","1,522.00","1,340.00","1,534.00","1,303.00","104.29K","13.24%"
"2020년 7월","1,344.00","1,174.00","1,381.00","1,147.00","39.40K","15.66%"
"2020년 6월","1,162.00","1,173.00","1,258.00","1,123.00","135.71K","-0.60%"
"2020년 5월","1,169.00","1,162.00","1,228.00","1,120.00","38.16K","0.26%"
"2020년 4월","1,166.00","1,177.00","1,211.00","1,073.00","95.07K","-1.69%"
"2020년 3월","1,186.00","1,266.00","1,305.00","1,162.00","25.21K","-5.65%"
"2020년 2월","1,257.00","1,319.00","1,324.00","1,235.00","114.49K","-5.77%"
"2020년 1월","1,334.00","1,318.00","1,360.00","1,285.00","29.35K","-1.48%"
"2019년 12월","1,354.00","1,385.00","1,515.00","1,293.00","137.07K","-2.24%"
"2019년 11월","1,385.00","1,295.00","1,429.00","1,267.00","38.20K","7.12%"
"2019년 10월","1,293.00","1,315.00","1,321.00","1,181.00","163.42K","-2.05%"
"2019년 9월","1,320.00","1,290.00","1,325.00","1,255.00","24.09K","0.61%"
"2019년 8월","1,312.00","1,322.00","1,341.00","1,261.00","142.97K","-1.94%"
"2019년 7월","1,338.00","1,456.00","1,456.00","1,321.00","36.33K","-5.84%"
"2019년 6월","1,421.00","1,475.00","1,491.00","1,325.00","126.04K","-3.86%"
"2019년 5월","1,478.00","1,357.00","1,482.00","1,278.00","46.81K","6.48%"
"2019년 4월","1,388.00","1,459.00","1,466.00","1,350.00","121.13K","-4.67%"
"2019년 3월","1,456.00","1,510.00","1,524.00","1,454.00","42.15K","-4.21%"
"2019년 2월","1,520.00","1,550.00","1,592.00","1,493.00","119.63K","-2.00%"
"2019년 1월","1,551.00","1,513.00","1,553.00","1,495.00","27.64K","2.99%"
"2018년 12월","1,506.00","1,590.00","1,598.00","1,441.00","81.74K","-4.68%"
"2018년 11월","1,580.00","1,689.00","1,705.00","1,576.00","23.47K","-4.65%"
"2018년 10월","1,657.00","1,552.00","1,770.00","1,550.00","153.99K","6.63%"
"2018년 9월","1,554.00","1,589.00","1,610.00","1,494.00","38.42K","-1.83%"
"2018년 8월","1,583.00","1,643.00","1,684.00","1,590.00","146.48K","-3.71%"
"2018년 7월","1,644.00","1,756.00","1,789.00","1,639.00","25.98K","-4.59%"
"2018년 6월","1,723.00","1,757.00","1,762.00","1,672.00","112.48K","0.17%"
"2018년 5월","1,720.00","1,722.00","1,832.00","1,718.00","2.31K","0.17%"
"2018년 4월","1,717.00","1,714.00","1,764.00","1,685.00","147.61K","-3.38%"
"2018년 3월","1,777.00","1,790.00","1,842.00","1,737.00","2.23K","0.40%"
"2018년 2월","1,770.00","1,762.00","1,825.00","1,753.00","115.03K","2.43%"
"2018년 1월","1,728.00","1,726.00","1,807.00","1,700.00","0.77K","0.82%"
"2017년 12월","1,714.00","1,736.00","1,767.00","1,683.00","112.26K","-4.41%"
"2017년 11월","1,793.00","1,891.00","1,924.00","1,745.00","1.81K","-5.73%"
"2017년 10월","1,902.00","1,968.00","2,042.00","1,892.00","122.07K","-3.30%"
"2017년 9월","1,967.00","2,073.00","2,092.00","1,949.00","1.08K","-5.25%"
"2017년 8월","2,076.00","2,120.00","2,183.00","2,036.00","144.10K","-3.04%"
"2017년 7월","2,141.00","2,147.00","2,196.00","2,115.00","0.72K","-0.79%"
"2017년 6월","2,158.00","1,997.00","2,231.00","1,965.00","151.46K","8.50%"
"2017년 5월","1,989.00","1,950.00","2,006.00","1,909.00","0.93K","3.76%"
"2017년 4월","1,917.00","2,147.00","2,185.00","1,839.00","155.61K","-10.25%"
"2017년 3월","2,136.00","2,115.00","2,194.00","2,082.00","0.45K","1.57%"
"2017년 2월","2,103.00","2,229.00","2,269.00","2,060.00","162.20K","-6.62%"
"2017년 1월","2,252.00","2,146.00","2,282.00","2,133.00","2.19K","4.31%"
"2016년 12월","2,159.00","2,030.00","2,167.00","1,976.00","101.03K","5.32%"
"2016년 11월","2,050.00","2,221.00","2,255.00","2,027.00","2.65K","-8.03%"
"2016년 10월","2,229.00","2,008.00","2,236.00","1,952.00","129.77K","11.17%"
"2016년 9월","2,005.00","1,801.00","2,013.00","1,791.00","0.84K","11.82%"
"2016년 8월","1,793.00","1,843.00","1,845.00","1,736.00","132.96K","-0.66%"
"2016년 7월","1,805.00","1,708.00","1,850.00","1,700.00","1.14K","6.93%"
"2016년 6월","1,688.00","1,637.00","1,718.00","1,599.00","130.33K","2.80%"
"2016년 5월","1,642.00","1,556.00","1,679.00","1,541.00","0.56K","5.53%"
"2016년 4월","1,556.00","1,510.00","1,570.00","1,446.00","155.09K","5.78%"
"2016년 3월","1,471.00","1,368.00","1,514.00","1,337.00","0.37K","6.98%"
"2016년 2월","1,375.00","1,378.00","1,454.00","1,307.00","136.15K","0.51%"
"2016년 1월","1,368.00","1,489.00","1,491.00","1,318.00","0.63K","-8.25%"
