"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 5월","1,668.25","1,684.12","1,688.12","1,667.00","-","-0.98%"
"2022년 4월","1,684.75","1,600.00","1,734.00","1,560.50","1.57M","4.11%"
"2022년 3월","1,618.25","1,645.25","1,736.25","1,613.50","-","-1.58%"
"2022년 2월","1,644.25","1,489.62","1,758.88","1,485.00","107.15K","10.32%"
"2022년 1월","1,490.50","1,340.88","1,496.75","1,340.62","0.04K","12.17%"
"2021년 12월","1,328.75","1,222.00","1,375.75","1,216.25","1.88M","9.16%"
"2021년 11월","1,217.25","1,248.38","1,289.12","1,181.62","72.91K","-1.50%"
"2021년 10월","1,235.75","1,255.00","1,262.50","1,184.50","2.51M","-1.69%"
"2021년 9월","1,257.00","1,294.00","1,308.00","1,249.12","-","-2.82%"
"2021년 8월","1,293.50","1,350.12","1,379.75","1,277.62","-","-4.07%"
"2021년 7월","1,348.38","1,402.50","1,422.88","1,300.62","-","-3.24%"
"2021년 6월","1,393.50","1,543.62","1,623.00","1,268.25","-","-8.83%"
"2021년 5월","1,528.50","1,547.75","1,667.12","1,489.75","-","-0.46%"
"2021년 4월","1,535.62","1,447.25","1,574.75","1,378.50","-","6.88%"
"2021년 3월","1,436.75","1,415.25","1,459.88","1,364.25","-","2.05%"
"2021년 2월","1,407.88","1,376.50","1,445.75","1,338.12","-","3.19%"
"2021년 1월","1,364.38","1,310.25","1,436.25","1,298.25","-","4.13%"
"2020년 12월","1,310.25","1,169.62","1,320.60","1,142.62","-","12.11%"
"2020년 11월","1,168.75","1,060.25","1,199.62","1,041.62","-","10.58%"
"2020년 10월","1,056.88","1,023.38","1,093.88","1,013.00","-","3.44%"
"2020년 9월","1,021.75","950.62","1,046.50","942.88","-","7.27%"
"2020년 8월","952.50","891.75","966.88","865.38","-","6.16%"
"2020년 7월","897.25","883.75","909.75","870.62","-","1.61%"
"2020년 6월","883.00","844.00","891.00","834.12","-","5.06%"
"2020년 5월","840.50","854.88","861.12","828.62","-","-1.75%"
"2020년 4월","855.50","885.75","886.88","808.38","-","-3.39%"
"2020년 3월","885.50","891.88","912.25","821.12","-","-0.85%"
"2020년 2월","893.12","871.12","902.00","868.88","-","2.35%"
"2020년 1월","872.62","943.50","954.50","872.38","-","-7.51%"
"2019년 12월","943.50","876.62","943.50","867.62","-","7.63%"
"2019년 11월","876.62","931.00","942.12","876.12","-","-5.92%"
"2019년 10월","931.75","904.12","945.38","903.38","-","3.04%"
"2019년 9월","904.25","866.38","906.62","851.12","-","4.15%"
"2019년 8월","868.25","880.75","896.62","852.62","-","-1.36%"
"2019년 7월","880.25","915.12","936.38","874.62","-","-0.18%"
"2019년 6월","881.88","876.12","923.00","848.38","-","0.41%"
