"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 4월","20.06","19.42","20.50","19.25","49.30K","2.92%"
"2022년 3월","19.49","17.72","19.89","17.70","1.28M","8.28%"
"2022년 2월","18.00","18.29","18.87","17.77","1.12M","-1.21%"
"2022년 1월","18.22","18.94","19.29","17.60","1.08M","-3.50%"
"2021년 12월","18.88","18.86","19.90","18.46","866.61K","1.51%"
"2021년 11월","18.60","19.28","20.69","18.55","1.04M","-3.48%"
"2021년 10월","19.27","20.31","20.61","18.82","966.28K","-2.82%"
"2021년 9월","19.83","19.93","20.05","18.49","1.19M","-0.05%"
"2021년 8월","19.84","17.86","20.37","17.74","1.04M","10.78%"
"2021년 7월","17.91","17.92","18.81","16.73","1.12M","1.59%"
"2021년 6월","17.63","17.51","17.93","16.19","1.18M","1.56%"
"2021년 5월","17.36","17.02","18.25","16.54","983.34K","-0.46%"
"2021년 4월","17.44","14.71","17.98","14.68","983.99K","18.08%"
"2021년 3월","14.77","16.55","16.70","14.67","1.15M","-15.74%"
"2021년 2월","17.53","15.93","18.94","15.82","1.12M","10.74%"
"2021년 1월","15.83","15.65","16.75","15.40","1.06M","2.19%"
"2020년 12월","15.49","14.55","15.53","14.09","875.48K","6.75%"
"2020년 11월","14.51","14.24","15.66","14.23","989.21K","1.04%"
"2020년 10월","14.36","13.51","15.04","13.31","1.19M","9.87%"
"2020년 9월","13.07","12.66","13.18","11.73","1.34M","3.24%"
"2020년 8월","12.66","12.67","13.28","12.39","1.05M","0.16%"
"2020년 7월","12.64","12.03","12.72","11.27","1.12M","6.76%"
"2020년 6월","11.84","10.97","12.27","10.83","1.23M","8.52%"
"2020년 5월","10.91","10.50","11.32","10.05","1.24M","5.00%"
"2020년 4월","10.39","10.39","10.86","9.05","1.04M","-0.29%"
"2020년 3월","10.42","14.25","14.40","10.40","1.86M","-27.94%"
"2020년 2월","14.46","14.54","15.90","14.03","1.39M","-1.03%"
"2020년 1월","14.61","13.47","14.90","13.10","1.97M","8.87%"
"2019년 12월","13.42","12.97","13.67","12.73","1.22M","3.71%"
"2019년 11월","12.94","12.47","13.01","12.29","1.23M","3.69%"
"2019년 10월","12.48","12.65","12.93","12.05","1.19M","4.70%"
"2019년 9월","11.92","11.20","12.02","10.68","1.82M","7.00%"
"2019년 8월","11.14","12.16","12.22","11.05","1.20M","-8.76%"
"2019년 7월","12.21","12.71","12.82","11.39","1.30M","-0.89%"
"2019년 6월","12.32","12.13","12.78","11.95","1.33M","1.82%"
"2019년 5월","12.10","12.38","12.39","11.36","1.61M","0.92%"
"2019년 4월","11.99","12.53","12.84","11.55","1.25M","-4.31%"
"2019년 3월","12.53","12.85","12.88","12.08","1.33M","-1.57%"
"2019년 2월","12.73","12.70","13.50","12.51","967.08K","0.00%"
"2019년 1월","12.73","12.10","13.27","11.69","1.43M","5.82%"
"2018년 12월","12.03","12.95","13.07","12.03","817.55K","-6.31%"
"2018년 11월","12.84","13.12","13.54","12.32","1.13M","-2.65%"
"2018년 10월","13.19","11.17","14.24","11.03","1.80M","26.58%"
"2018년 9월","10.42","10.64","11.80","9.83","1.22M","-1.70%"
"2018년 8월","10.60","10.56","11.13","9.91","1.36M","0.47%"
"2018년 7월","10.55","12.21","12.24","10.45","1.10M","-11.05%"
"2018년 6월","11.86","12.79","12.97","11.60","1.29M","-7.27%"
"2018년 5월","12.79","11.80","12.85","11.12","1.52M","11.02%"
"2018년 4월","11.52","12.33","12.55","10.69","1.25M","-6.72%"
"2018년 3월","12.35","13.45","13.80","12.18","1.34M","-8.38%"
"2018년 2월","13.48","13.23","14.04","12.96","1.14M","1.89%"
"2018년 1월","13.23","15.08","15.37","13.02","1.50M","-12.73%"
"2017년 12월","15.16","15.06","15.21","13.64","1.03M","0.53%"
"2017년 11월","15.08","14.72","15.49","14.15","1.12M","2.31%"
"2017년 10월","14.74","14.10","14.82","13.83","955.62K","8.86%"
"2017년 9월","13.54","14.25","14.58","13.01","1.08M","-5.97%"
"2017년 8월","14.40","14.91","15.16","12.92","1.18M","-3.42%"
"2017년 7월","14.91","13.67","14.99","13.21","1.04M","8.99%"
"2017년 6월","13.68","15.00","15.01","12.53","1.11M","-8.00%"
"2017년 5월","14.87","16.20","16.59","14.73","1.21M","-7.29%"
"2017년 4월","16.04","16.93","17.18","15.12","975.07K","-4.30%"
"2017년 3월","16.76","19.31","19.84","16.58","1.28M","-13.21%"
"2017년 2월","19.31","20.50","21.49","19.05","909.26K","-5.57%"
"2017년 1월","20.45","19.63","21.38","19.58","979.16K","4.82%"
"2016년 12월","19.51","19.88","19.99","17.84","830.53K","-1.51%"
