"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 4월","817.62","748.50","819.62","730.25","111.00K","9.20%"
"2022년 3월","748.75","699.75","800.00","699.75","1.43M","7.35%"
"2022년 2월","697.50","626.00","718.75","610.25","3.54M","11.42%"
"2022년 1월","626.00","599.00","642.50","584.75","3.21M","5.52%"
"2021년 12월","593.25","568.00","617.75","567.00","1.38M","4.63%"
"2021년 11월","567.00","568.00","589.00","547.75","3.62M","-0.22%"
"2021년 10월","568.25","536.75","569.25","506.75","2.88M","5.72%"
"2021년 9월","537.50","535.38","548.50","487.75","390.86K","0.66%"
"2021년 8월","534.00","547.25","589.50","524.00","2.14M","-2.38%"
"2021년 7월","547.00","719.75","750.50","536.75","891.07K","-24.03%"
"2021년 6월","720.00","666.00","743.25","629.50","3.53M","9.63%"
"2021년 5월","656.75","740.00","775.00","602.75","1.54M","-11.25%"
"2021년 4월","740.00","575.00","746.25","549.75","3.42M","31.15%"
"2021년 3월","564.25","560.50","571.25","532.75","1.76M","1.58%"
"2021년 2월","555.50","549.00","574.25","524.75","3.56M","1.55%"
"2021년 1월","547.00","487.25","553.75","479.50","4.29M","13.02%"
"2020년 12월","484.00","420.00","485.75","409.00","1.65M","15.31%"
"2020년 11월","419.75","396.00","430.50","393.00","3.53M","5.33%"
"2020년 10월","398.50","379.00","422.25","377.25","4.51M","5.15%"
"2020년 9월","379.00","347.75","382.75","343.25","2.13M","8.75%"
"2020년 8월","348.50","315.00","353.00","307.25","2.75M","10.28%"
"2020년 7월","316.00","338.50","356.50","314.50","1.45M","-6.65%"
"2020년 6월","338.50","325.50","342.00","313.50","4.08M","3.91%"
"2020년 5월","325.75","311.00","330.75","305.50","1.37M","4.57%"
"2020년 4월","311.50","341.25","343.25","300.25","2.91M","-8.58%"
"2020년 3월","340.75","366.50","388.50","332.00","2.00M","-7.03%"
"2020년 2월","366.50","380.50","385.00","361.75","3.51M","-3.87%"
"2020년 1월","381.25","387.75","394.00","375.25","3.60M","-1.68%"
"2019년 12월","387.75","371.75","392.00","357.00","1.11M","4.44%"
"2019년 11월","371.25","389.25","391.75","362.25","3.79M","-4.81%"
