"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 4월","4,611.00","4,338.00","4,673.00","4,226.00","2.37K","6.91%"
"2022년 3월","4,313.00","3,913.00","4,388.00","3,840.00","0.48K","9.27%"
"2022년 2월","3,947.00","3,870.00","3,994.00","3,779.00","3.07K","4.45%"
"2022년 1월","3,779.00","4,105.00","4,121.00","3,740.00","6.95K","-7.90%"
"2021년 12월","4,103.00","4,845.00","4,898.00","4,058.00","22.14K","-15.26%"
"2021년 11월","4,842.00","4,900.00","5,200.00","4,756.00","3.67K","0.46%"
"2021년 10월","4,820.00","4,224.00","5,290.00","4,180.00","1.63K","12.46%"
"2021년 9월","4,286.00","4,330.00","4,800.00","4,215.00","6.07K","-0.46%"
"2021년 8월","4,306.00","4,837.00","5,237.00","4,287.00","43.27K","-10.98%"
"2021년 7월","4,837.00","4,198.00","4,896.00","4,006.00","11.66K","15.47%"
"2021년 6월","4,189.00","3,907.00","4,279.00","3,688.00","11.08K","6.32%"
"2021년 5월","3,940.00","4,550.00","4,680.00","3,900.00","14.53K","-13.02%"
"2021년 4월","4,530.00","4,005.00","4,594.00","3,885.00","18.99K","12.38%"
"2021년 3월","4,031.00","3,925.00","4,267.00","3,715.00","6.66K","2.70%"
"2021년 2월","3,925.00","3,680.00","4,087.00","3,602.00","23.23K","7.65%"
"2021년 1월","3,646.00","4,290.00","5,700.00","3,595.00","32.09K","-15.80%"
"2020년 12월","4,330.00","3,628.00","4,527.00","3,544.00","11.61K","22.35%"
"2020년 11월","3,539.00","3,581.00","3,630.00","3,350.00","9.28K","-1.17%"
"2020년 10월","3,581.00","3,390.00","3,771.00","3,361.00","37.68K","5.92%"
"2020년 9월","3,381.00","3,600.00","3,700.00","3,338.00","87.08K","-4.57%"
"2020년 8월","3,543.00","4,150.00","4,189.00","3,367.00","92.33K","-15.98%"
"2020년 7월","4,217.00","2,801.00","4,270.00","2,801.00","71.91K","51.15%"
"2020년 6월","2,790.00","2,677.00","2,990.00","2,454.00","210.08K","6.94%"
"2020년 5월","2,609.00","2,718.00","2,837.00","2,402.00","592.66K","-8.46%"
"2020년 4월","2,850.00","2,790.00","3,199.00","2,730.00","37.47K","3.26%"
"2020년 3월","2,760.00","2,600.00","2,848.00","2,600.00","14.07K","9.83%"
