"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 4월","1,009.0","1,009.0","1,009.0","1,009.0","-","-32.05%"
"2022년 3월","1,485.0","1,400.8","1,485.0","1,400.8","0.00K","7.61%"
"2022년 2월","1,380.0","1,164.0","1,275.0","1,164.0","0.02K","16.95%"
"2022년 1월","1,180.0","1,076.1","1,180.0","1,076.1","0.58K","8.01%"
"2021년 12월","1,092.5","1,095.0","1,129.3","1,044.0","15.49K","-2.98%"
"2021년 11월","1,126.0","1,127.1","1,157.3","1,082.1","19.56K","-1.43%"
"2021년 10월","1,142.3","1,134.0","1,194.4","1,091.0","36.29K","0.24%"
"2021년 9월","1,139.6","1,137.4","1,163.9","1,100.0","31.62K","-5.04%"
"2021년 8월","1,200.1","1,125.2","1,205.3","1,103.0","37.25K","1.26%"
"2021년 7월","1,185.2","995.0","1,189.0","990.0","42.25K","13.52%"
"2021년 6월","1,044.0","1,122.0","1,170.0","964.1","63.99K","-11.38%"
"2021년 5월","1,178.0","1,172.5","1,268.6","1,171.7","38.60K","-3.47%"
"2021년 4월","1,220.4","1,081.0","1,244.0","1,081.0","42.17K","7.77%"
"2021년 3월","1,132.4","1,067.0","1,180.0","1,031.0","49.33K","5.26%"
"2021년 2월","1,075.8","974.9","1,079.0","940.3","44.86K","13.72%"
"2021년 1월","946.0","977.0","1,010.0","901.0","50.10K","-2.54%"
"2020년 12월","970.7","878.0","977.0","865.1","46.09K","11.32%"
"2020년 11월","872.0","814.0","948.8","807.0","46.08K","4.87%"
"2020년 10월","831.5","761.8","835.6","747.2","36.85K","7.62%"
"2020년 9월","772.6","767.1","814.7","749.3","32.85K","1.21%"
"2020년 8월","763.4","742.7","766.9","719.4","36.08K","3.20%"
"2020년 7월","739.7","650.3","747.0","648.2","38.60K","5.57%"
"2020년 6월","700.7","643.0","736.7","639.2","39.94K","6.46%"
"2020년 5월","658.2","604.9","661.4","567.3","26.80K","4.20%"
"2020년 4월","631.7","658.1","680.5","612.4","21.50K","-7.38%"
"2020년 3월","682.0","655.0","696.4","589.1","58.97K","-1.47%"
"2020년 2월","692.2","747.0","774.0","682.5","49.88K","-10.31%"
"2020년 1월","771.8","799.6","839.8","750.0","54.56K","-3.92%"
"2019년 12월","803.3","676.0","810.3","672.9","34.89K","20.22%"
"2019년 11월","668.2","590.0","672.3","586.6","36.05K","14.73%"
"2019년 10월","582.4","547.5","582.5","543.0","19.37K","6.18%"
"2019년 9월","548.5","566.0","567.0","543.2","19.70K","-0.65%"
"2019년 8월","552.1","513.6","566.9","508.6","25.20K","8.42%"
"2019년 7월","509.2","517.1","521.8","491.3","23.85K","-0.14%"
"2019년 6월","509.9","517.1","518.6","492.0","20.48K","-1.60%"
