"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 4월","1,766.25","1,511.25","1,511.25","1,511.25","-","16.22%"
"2022년 3월","1,519.75","1,864.50","1,864.50","1,864.50","-","-14.37%"
"2022년 2월","1,774.75","1,365.75","1,365.75","1,365.75","-","28.51%"
"2022년 1월","1,381.00","1,260.50","1,260.50","1,260.50","-","11.48%"
"2021년 12월","1,238.75","1,239.25","1,239.25","1,239.25","-","0.53%"
"2021년 11월","1,232.25","1,301.00","1,301.00","1,301.00","-","-5.43%"
"2021년 10월","1,303.00","1,137.00","1,137.00","1,137.00","-","12.91%"
"2021년 9월","1,154.00","1,071.00","1,071.00","1,071.00","-","6.68%"
"2021년 8월","1,081.75","1,052.25","1,052.25","1,052.25","-","-1.88%"
"2021년 7월","1,102.50","936.25","936.25","936.25","-","21.05%"
"2021년 6월","910.75","1,009.50","1,009.50","1,009.50","-","-6.54%"
"2021년 5월","974.50","1,114.50","1,114.50","1,114.50","-","-9.43%"
"2021년 4월","1,076.00","1,002.00","1,002.00","1,002.00","-","9.85%"
"2021년 3월","979.50","972.25","972.25","972.25","-","-0.48%"
"2021년 2월","984.25","962.00","962.00","962.00","-","1.18%"
"2021년 1월","972.75","988.25","988.25","988.25","-","0.44%"
"2020년 12월","968.50","853.00","853.00","853.00","-","14.41%"
"2020년 11월","846.50","785.00","785.00","785.00","-","8.14%"
"2020년 10월","782.75","703.75","703.75","703.75","-","14.60%"
"2020년 9월","683.00","698.00","698.00","698.00","-","0.15%"
"2020년 8월","682.00","674.50","674.50","674.50","-","4.08%"
"2020년 7월","655.25","558.75","558.75","558.75","-","17.96%"
"2020년 6월","555.50","553.75","553.75","553.75","-","1.74%"
"2020년 5월","546.00","471.75","471.75","471.75","-","11.83%"
"2020년 4월","488.25","573.25","573.25","573.25","-","-17.42%"
"2020년 3월","591.25","515.00","515.00","515.00","-","5.82%"
"2020년 2월","558.75","558.75","558.75","558.75","-","-13.37%"
"2020년 1월","645.00","645.00","645.00","645.00","-","-13.19%"
"2019년 12월","743.00","743.00","743.00","743.00","-","18.41%"
"2019년 11월","627.50","627.50","627.50","627.50","-","7.17%"
"2019년 10월","585.50","585.50","585.50","585.50","-","18.04%"
"2019년 9월","496.00","496.00","496.00","496.00","-","-3.55%"
"2019년 8월","514.25","514.25","514.25","514.25","-","5.22%"
"2019년 7월","488.75","488.75","488.75","488.75","-","8.31%"
"2019년 6월","451.25","451.25","451.25","451.25","-","-6.81%"
"2019년 5월","484.25","484.25","484.25","484.25","-","1.04%"
"2019년 4월","479.25","479.25","479.25","479.25","-","-2.14%"
"2019년 3월","489.75","489.75","489.75","489.75","-","4.04%"
"2019년 2월","470.75","470.75","470.75","470.75","-","-12.50%"
"2019년 1월","538.00","538.00","538.00","538.00","-","11.04%"
"2018년 12월","484.50","484.50","484.50","484.50","-","8.39%"
"2018년 11월","447.00","447.00","447.00","447.00","-","-5.94%"
"2018년 10월","475.25","475.25","475.25","475.25","-","-7.22%"
"2018년 9월","512.25","512.25","512.25","512.25","-","-4.30%"
"2018년 8월","535.25","535.25","535.25","535.25","-","2.05%"
"2018년 7월","524.50","524.50","524.50","524.50","-","-7.86%"
"2018년 6월","569.25","569.25","569.25","569.25","-","-6.72%"
"2018년 5월","610.25","610.25","610.25","610.25","-","2.95%"
"2018년 4월","592.75","592.75","592.75","592.75","-","-3.81%"
"2018년 3월","616.25","616.25","616.25","616.25","-","-5.99%"
"2018년 2월","655.50","655.50","655.50","655.50","-","2.62%"
"2018년 1월","638.75","638.75","638.75","638.75","-","5.75%"
"2017년 12월","604.00","604.00","604.00","604.00","-","-1.02%"
"2017년 11월","610.25","610.25","610.25","610.25","-","-7.50%"
"2017년 10월","659.75","659.75","659.75","659.75","-","2.41%"
"2017년 9월","644.25","644.25","644.25","644.25","-","2.63%"
"2017년 8월","627.75","627.75","627.75","627.75","-","0.52%"
"2017년 7월","624.50","624.50","624.50","624.50","-","3.31%"
"2017년 6월","604.50","604.50","604.50","604.50","-","-5.88%"
"2017년 5월","642.25","642.25","642.25","642.25","-","3.46%"
"2017년 4월","620.75","620.75","620.75","620.75","-","-3.08%"
"2017년 3월","640.50","640.50","640.50","640.50","-","-1.88%"
"2017년 2월","652.75","652.75","652.75","652.75","-","-10.49%"
"2017년 1월","729.25","729.25","729.25","729.25","-","1.67%"
"2016년 12월","717.25","717.25","717.25","717.25","-","3.95%"
"2016년 11월","690.00","690.00","690.00","690.00","-","4.74%"
"2016년 10월","658.75","658.75","658.75","658.75","-","-1.83%"
"2016년 9월","671.00","671.00","671.00","671.00","-","-2.47%"
"2016년 8월","688.00","688.00","688.00","688.00","-","18.11%"
"2016년 7월","582.50","582.50","582.50","582.50","-","-2.14%"
"2016년 6월","595.25","595.25","595.25","595.25","-","-6.74%"
"2016년 5월","638.25","638.25","638.25","638.25","-","-3.15%"
"2016년 4월","659.00","659.00","659.00","659.00","-","-4.42%"
"2016년 3월","689.50","689.50","689.50","689.50","-","16.96%"
"2016년 2월","589.50","589.50","589.50","589.50","-","4.24%"
"2016년 1월","565.50","565.50","565.50","565.50","-","1.25%"
"2015년 12월","558.50","558.50","558.50","558.50","-","11.31%"
"2015년 11월","501.75","501.75","501.75","501.75","-","-3.69%"
"2015년 10월","521.00","521.00","521.00","521.00","-","-0.67%"
"2015년 9월","524.50","524.50","524.50","524.50","-","14.27%"
"2015년 8월","459.00","459.00","459.00","459.00","-","-17.22%"
"2015년 7월","554.50","554.50","554.50","554.50","-","-5.90%"
"2015년 6월","589.25","589.25","589.25","589.25","-","-0.42%"
"2015년 5월","591.75","591.75","591.75","591.75","-","1.81%"
