"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 5월","17.240","17.420","17.420","17.235","-","0.88%"
"2022년 4월","17.090","15.955","17.480","15.628","0.11K","6.75%"
"2022년 3월","16.010","15.400","16.495","15.400","5.66K","4.20%"
"2022년 2월","15.365","15.060","15.580","14.650","13.51K","2.03%"
"2022년 1월","15.060","14.535","15.230","14.350","5.52K","2.94%"
"2021년 12월","14.630","14.010","14.640","13.585","13.57K","4.24%"
"2021년 11월","14.035","13.455","14.700","12.975","8.10K","5.69%"
"2021년 10월","13.280","13.690","13.950","13.250","13.00K","-3.17%"
"2021년 9월","13.715","13.045","14.000","12.945","6.57K","4.46%"
"2021년 8월","13.130","13.660","13.685","13.010","11.22K","-4.02%"
"2021년 7월","13.680","12.515","13.850","12.510","4.86K","3.83%"
"2021년 6월","13.175","13.340","13.670","12.210","11.36K","-0.94%"
"2021년 5월","13.300","13.400","14.190","13.110","4.84K","-0.64%"
"2021년 4월","13.385","13.160","13.535","12.790","12.12K","1.56%"
"2021년 3월","13.180","12.795","13.450","12.755","3.50K","3.37%"
"2021년 2월","12.750","13.460","13.485","12.605","13.40K","-5.27%"
"2021년 1월","13.460","12.650","13.500","12.455","4.52K","8.55%"
"2020년 12월","12.400","12.525","12.640","11.990","14.68K","-1.23%"
"2020년 11월","12.555","12.485","12.700","12.150","3.43K","0.24%"
"2020년 10월","12.525","12.445","12.760","11.850","14.66K","0.40%"
"2020년 9월","12.475","12.535","14.000","12.085","3.97K","-0.12%"
"2020년 8월","12.490","11.640","12.735","11.455","9.64K","7.72%"
"2020년 7월","11.595","19.900","19.900","11.215","4.87K","-20.06%"
"2020년 6월","14.505","17.200","23.565","13.100","13.43K","-15.74%"
"2020년 5월","17.215","16.370","17.510","15.535","4.45K","0.35%"
"2020년 4월","17.155","14.000","18.700","13.815","15.69K","22.23%"
"2020년 3월","14.035","13.560","14.350","12.750","10.45K","3.85%"
"2020년 2월","13.515","13.575","13.860","13.080","17.40K","-0.70%"
"2020년 1월","13.610","12.895","13.740","12.820","7.65K","3.62%"
"2019년 12월","13.135","12.475","13.115","12.235","15.37K","5.21%"
"2019년 11월","12.485","11.820","12.490","11.700","7.02K","6.44%"
"2019년 10월","11.730","11.995","12.170","11.495","15.59K","-2.37%"
"2019년 9월","12.015","11.605","12.385","11.600","7.36K","2.96%"
"2019년 8월","11.670","11.930","12.000","10.865","15.80K","-2.30%"
"2019년 7월","11.945","11.030","12.345","10.980","7.01K","5.94%"
"2019년 6월","11.275","11.400","11.790","11.000","12.91K","-1.57%"
"2019년 5월","11.455","10.175","11.900","10.165","10.69K","11.48%"
"2019년 4월","10.275","10.850","10.915","10.070","14.45K","-5.30%"
"2019년 3월","10.850","10.400","11.270","10.400","7.66K","4.38%"
"2019년 2월","10.395","10.640","10.760","9.800","12.92K","-2.03%"
