날짜,price,제품명
2002년 1월,"3,300",계란
2002년 2월,"3,264",계란
2002년 3월,"3,024",계란
2002년 4월,"2,922",계란
2002년 5월,"2,754",계란
2002년 6월,"2,958",계란
2002년 7월,"2,676",계란
2002년 8월,"2,676",계란
2002년 9월,"3,234",계란
2002년 10월,"2,832",계란
2002년 11월,"2,670",계란
2002년 12월,"2,640",계란
2003년 1월,"2,750",계란
2003년 2월,"2,730",계란
2003년 3월,"2,665",계란
2003년 4월,"2,802",계란
2003년 5월,"2,670",계란
2003년 6월,"2,700",계란
2003년 7월,"2,682",계란
2003년 8월,"2,700",계란
2003년 9월,"2,856",계란
2003년 10월,"2,700",계란
2003년 11월,"2,718",계란
2003년 12월,"2,718",계란
2004년 1월,"2,766",계란
2004년 2월,"2,700",계란
2004년 3월,"3,150",계란
2004년 4월,"3,648",계란
2004년 5월,"3,516",계란
2004년 6월,"3,528",계란
2004년 7월,"3,570",계란
2004년 8월,"3,744",계란
2004년 9월,"4,326",계란
2004년 10월,"4,476",계란
2004년 11월,"4,440",계란
2004년 12월,"4,260",계란
2005년 1월,"4,463",계란
2005년 2월,"4,683",계란
2005년 3월,"4,700",계란
2005년 4월,"4,747",계란
2005년 5월,"4,855",계란
2005년 6월,"4,841",계란
2005년 7월,"4,475",계란
2005년 8월,"4,268",계란
2005년 9월,"4,150",계란
2005년 10월,"4,185",계란
2005년 11월,"3,903",계란
2005년 12월,"3,840",계란
2006년 1월,"3,738",계란
2006년 2월,"3,748",계란
2006년 3월,"3,688",계란
2006년 4월,"3,723",계란
2006년 5월,"3,708",계란
2006년 6월,"3,825",계란
2006년 7월,"3,825",계란
2006년 8월,"3,833",계란
2006년 9월,"3,833",계란
2006년 10월,"3,921",계란
2006년 11월,"3,840",계란
2006년 12월,"3,828",계란
2007년 1월,"3,825",계란
2007년 2월,"3,755",계란
2007년 3월,"3,715",계란
2007년 4월,"3,662",계란
2007년 5월,"3,594",계란
2007년 6월,"3,726",계란
2007년 7월,"3,748",계란
2007년 8월,"3,769",계란
2007년 9월,"3,828",계란
2007년 10월,"4,036",계란
2007년 11월,"4,062",계란
2007년 12월,"4,238",계란
2008년 1월,"4,344",계란
2008년 2월,"4,594",계란
2008년 3월,"4,617",계란
2008년 4월,"4,976",계란
2008년 5월,"4,860",계란
2008년 6월,"4,854",계란
2008년 7월,"4,827",계란
2008년 8월,"4,778",계란
2008년 9월,"4,958",계란
2008년 10월,"5,031",계란
2008년 11월,"5,031",계란
2008년 12월,"5,243",계란
2009년 1월,"5,566",계란
2009년 2월,"5,460",계란
2009년 3월,"5,226",계란
2009년 4월,"5,186",계란
2009년 5월,"5,262",계란
2009년 6월,"5,433",계란
2009년 7월,"5,320",계란
2009년 8월,"5,398",계란
2009년 9월,"5,320",계란
2009년 10월,"5,528",계란
2009년 11월,"5,300",계란
2009년 12월,"5,142",계란
2010년 1월,"5,124",계란
2010년 2월,"5,160",계란
2010년 3월,"5,124",계란
2010년 4월,"5,019",계란
2010년 5월,"5,077",계란
2010년 6월,"4,771",계란
2010년 7월,"4,907",계란
2010년 8월,"4,861",계란
2010년 9월,"5,294",계란
2010년 10월,"5,456",계란
2010년 11월,"5,492",계란
2010년 12월,"5,699",계란
2011년 1월,"5,767",계란
2011년 2월,"6,124",계란
2011년 3월,"6,063",계란
2011년 4월,"6,376",계란
2011년 5월,"6,359",계란
2011년 6월,"6,322",계란
2011년 7월,"6,177",계란
2011년 8월,"5,795",계란
2011년 9월,"6,133",계란
2011년 10월,"5,415",계란
2011년 11월,"5,747",계란
2011년 12월,"5,560",계란
2012년 1월,"5,824",계란
2012년 2월,"5,395",계란
2012년 3월,"4,909",계란
2012년 4월,"5,525",계란
2012년 5월,"5,175",계란
2012년 6월,"5,233",계란
2012년 7월,"4,956",계란
2012년 8월,"4,823",계란
2012년 9월,"5,137",계란
2012년 10월,"5,329",계란
2012년 11월,"4,892",계란
2012년 12월,"5,092",계란
2013년 1월,"4,590",계란
2013년 2월,"5,038",계란
2013년 3월,"4,875",계란
2013년 4월,"5,097",계란
2013년 5월,"5,503",계란
2013년 6월,"5,394",계란
2013년 7월,"5,388",계란
2013년 8월,"5,448",계란
2013년 9월,"5,874",계란
2013년 10월,"5,639",계란
2013년 11월,"5,854",계란
2013년 12월,"5,963",계란
2014년 1월,"5,967",계란
2014년 2월,"6,097",계란
2014년 3월,"5,706",계란
2014년 4월,"6,070",계란
2014년 5월,"6,091",계란
2014년 6월,"6,024",계란
2014년 7월,"5,674",계란
2014년 8월,"6,010",계란
2014년 9월,"5,981",계란
2014년 10월,"5,720",계란
2014년 11월,"5,969",계란
2014년 12월,"6,044",계란
2015년 1월,"5,925",계란
2015년 2월,"5,920",계란
2015년 3월,"5,848",계란
2015년 4월,"5,891",계란
2015년 5월,"5,907",계란
2015년 6월,"5,815",계란
2015년 7월,"5,818",계란
2015년 8월,"5,777",계란
2015년 9월,"5,718",계란
2015년 10월,"5,733",계란
2015년 11월,"5,659",계란
2015년 12월,"5,184",계란
2016년 1월,"5,513",계란
2016년 2월,"5,478",계란
2016년 3월,"5,051",계란
2016년 4월,"5,054",계란
2016년 5월,"5,320",계란
2016년 6월,"4,884",계란
2016년 7월,"5,386",계란
2016년 8월,"5,422",계란
2016년 9월,"5,624",계란
2016년 10월,"5,608",계란
2016년 11월,"5,645",계란
2016년 12월,"5,826",계란
2017년 1월,"9,367",계란
2017년 2월,"7,892",계란
2017년 3월,"7,272",계란
2017년 4월,"7,509",계란
2017년 5월,"7,901",계란
2017년 6월,"7,967",계란
2017년 7월,"7,969",계란
2017년 8월,"7,569",계란
2017년 9월,"5,784",계란
2017년 10월,"5,490",계란
2017년 11월,"5,839",계란
2017년 12월,"5,717",계란
2018년 1월,"5,376",계란
