날짜,price,제품명
2022년 4월,"7,192",[CJ제일제당]해찬들 담백한 재래식 된장
2022년 3월,"7,022",[CJ제일제당]해찬들 담백한 재래식 된장
2022년 2월,"6,697",[CJ제일제당]해찬들 담백한 재래식 된장
2022년 1월,"6,447",[CJ제일제당]해찬들 담백한 재래식 된장
2021년 12월,"6,508",[CJ제일제당]해찬들 담백한 재래식 된장
2021년 11월,"6,478",[CJ제일제당]해찬들 담백한 재래식 된장
2021년 10월,"6,490",[CJ제일제당]해찬들 담백한 재래식 된장
2021년 9월,"6,545",[CJ제일제당]해찬들 담백한 재래식 된장
2021년 8월,"6,678",[CJ제일제당]해찬들 담백한 재래식 된장
2021년 7월,"6,839",[CJ제일제당]해찬들 담백한 재래식 된장
2021년 6월,"6,711",[CJ제일제당]해찬들 담백한 재래식 된장
2021년 5월,"6,684",[CJ제일제당]해찬들 담백한 재래식 된장
2021년 4월,"6,571",[CJ제일제당]해찬들 담백한 재래식 된장
2021년 3월,"6,598",[CJ제일제당]해찬들 담백한 재래식 된장
2021년 2월,"6,765",[CJ제일제당]해찬들 담백한 재래식 된장
2021년 1월,"6,404",[CJ제일제당]해찬들 담백한 재래식 된장
2020년 12월,"6,651",[CJ제일제당]해찬들 담백한 재래식 된장
2020년 11월,"6,234",[CJ제일제당]해찬들 담백한 재래식 된장
2020년 10월,"6,227",[CJ제일제당]해찬들 담백한 재래식 된장
2020년 9월,"6,490",[CJ제일제당]해찬들 담백한 재래식 된장
2020년 8월,"6,310",[CJ제일제당]해찬들 담백한 재래식 된장
2020년 7월,"6,568",[CJ제일제당]해찬들 담백한 재래식 된장
2020년 6월,"6,492",[CJ제일제당]해찬들 담백한 재래식 된장
2020년 5월,"6,388",[CJ제일제당]해찬들 담백한 재래식 된장
2020년 4월,"6,555",[CJ제일제당]해찬들 담백한 재래식 된장
2020년 3월,"6,660",[CJ제일제당]해찬들 담백한 재래식 된장
2020년 2월,"6,530",[CJ제일제당]해찬들 담백한 재래식 된장
2020년 1월,"6,503",[CJ제일제당]해찬들 담백한 재래식 된장
2019년 12월,"6,563",[CJ제일제당]해찬들 담백한 재래식 된장
2019년 11월,"6,565",[CJ제일제당]해찬들 담백한 재래식 된장
2019년 10월,"6,645",[CJ제일제당]해찬들 담백한 재래식 된장
2019년 9월,"6,434",[CJ제일제당]해찬들 담백한 재래식 된장
2019년 8월,"6,477",[CJ제일제당]해찬들 담백한 재래식 된장
2019년 7월,"6,647",[CJ제일제당]해찬들 담백한 재래식 된장
2019년 6월,"6,588",[CJ제일제당]해찬들 담백한 재래식 된장
2019년 5월,"6,725",[CJ제일제당]해찬들 담백한 재래식 된장
2019년 4월,"6,663",[CJ제일제당]해찬들 담백한 재래식 된장
2019년 3월,"6,482",[CJ제일제당]해찬들 담백한 재래식 된장
2019년 2월,"6,406",[CJ제일제당]해찬들 담백한 재래식 된장
2019년 1월,"6,327",[CJ제일제당]해찬들 담백한 재래식 된장
2018년 12월,"6,328",[CJ제일제당]해찬들 담백한 재래식 된장
2018년 11월,"6,373",[CJ제일제당]해찬들 담백한 재래식 된장
2018년 10월,"6,403",[CJ제일제당]해찬들 담백한 재래식 된장
2018년 9월,"6,149",[CJ제일제당]해찬들 담백한 재래식 된장
2018년 8월,"6,091",[CJ제일제당]해찬들 담백한 재래식 된장
2018년 7월,"6,171",[CJ제일제당]해찬들 담백한 재래식 된장
2018년 6월,"6,206",[CJ제일제당]해찬들 담백한 재래식 된장
2018년 5월,"6,223",[CJ제일제당]해찬들 담백한 재래식 된장
2018년 4월,"6,283",[CJ제일제당]해찬들 담백한 재래식 된장
2018년 3월,"6,282",[CJ제일제당]해찬들 담백한 재래식 된장
