날짜,price,제품명
2022년 4월,"3,800",[농심]신라면
2022년 3월,"3,800",[농심]신라면
2022년 2월,"3,806",[농심]신라면
2022년 1월,"3,807",[농심]신라면
2022년 4월,"3,616",[삼양식품]삼양라면
2022년 3월,"3,594",[삼양식품]삼양라면
2022년 2월,"3,584",[삼양식품]삼양라면
2022년 1월,"3,388",[삼양식품]삼양라면
2022년 4월,"3,118",[오뚜기]진라면 순한맛
2022년 3월,"3,104",[오뚜기]진라면 순한맛
2022년 2월,"3,121",[오뚜기]진라면 순한맛
2022년 1월,"3,120",[오뚜기]진라면 순한맛
2021년 12월,"3,809",[농심]신라면
2021년 11월,"3,807",[농심]신라면
2021년 10월,"3,803",[농심]신라면
2021년 9월,"3,753",[농심]신라면
2021년 8월,"3,681",[농심]신라면
2021년 7월,"3,477",[농심]신라면
2021년 6월,"3,469",[농심]신라면
2021년 5월,"3,488",[농심]신라면
2021년 4월,"3,481",[농심]신라면
2021년 3월,"3,489",[농심]신라면
2021년 2월,"3,494",[농심]신라면
2021년 1월,"3,496",[농심]신라면
2021년 12월,"3,494",[삼양식품]삼양라면
2021년 11월,"3,402",[삼양식품]삼양라면
2021년 10월,"3,512",[삼양식품]삼양라면
2021년 9월,"3,415",[삼양식품]삼양라면
2021년 8월,"3,198",[삼양식품]삼양라면
2021년 7월,"3,287",[삼양식품]삼양라면
2021년 6월,"3,331",[삼양식품]삼양라면
2021년 5월,"3,284",[삼양식품]삼양라면
2021년 4월,"3,295",[삼양식품]삼양라면
2021년 3월,"3,256",[삼양식품]삼양라면
2021년 2월,"3,282",[삼양식품]삼양라면
2021년 1월,"3,368",[삼양식품]삼양라면
2021년 12월,"3,131",[오뚜기]진라면 순한맛
2021년 11월,"3,120",[오뚜기]진라면 순한맛
2021년 10월,"3,119",[오뚜기]진라면 순한맛
2021년 9월,"3,052",[오뚜기]진라면 순한맛
2021년 8월,"3,036",[오뚜기]진라면 순한맛
2021년 7월,"2,797",[오뚜기]진라면 순한맛
2021년 6월,"2,815",[오뚜기]진라면 순한맛
2021년 5월,"2,770",[오뚜기]진라면 순한맛
2021년 4월,"2,775",[오뚜기]진라면 순한맛
2021년 3월,"2,814",[오뚜기]진라면 순한맛
2021년 2월,"2,825",[오뚜기]진라면 순한맛
2021년 1월,"2,833",[오뚜기]진라면 순한맛
2020년 12월,"3,490",[농심]신라면
2020년 11월,"3,480",[농심]신라면
2020년 10월,"3,497",[농심]신라면
2020년 9월,"3,485",[농심]신라면
2020년 8월,"3,494",[농심]신라면
2020년 7월,"3,491",[농심]신라면
2020년 6월,"3,486",[농심]신라면
2020년 5월,"3,494",[농심]신라면
2020년 4월,"3,504",[농심]신라면
2020년 3월,"3,503",[농심]신라면
2020년 2월,"3,473",[농심]신라면
2020년 1월,"3,459",[농심]신라면
2020년 12월,"3,244",[삼양식품]삼양라면
2020년 11월,"3,317",[삼양식품]삼양라면
2020년 10월,"3,314",[삼양식품]삼양라면
2020년 9월,"3,341",[삼양식품]삼양라면
2020년 8월,"3,331",[삼양식품]삼양라면
2020년 7월,"3,317",[삼양식품]삼양라면
2020년 6월,"3,282",[삼양식품]삼양라면
