날짜,price,제품명
2022년 4월,"6,020",[빙그레]투게더 바닐라맛
2022년 3월,"6,027",[빙그레]투게더 바닐라맛
2022년 2월,"5,723",[빙그레]투게더 바닐라맛
2022년 1월,"5,691",[빙그레]투게더 바닐라맛
2022년 4월,568,[빙그레]메로나
2022년 3월,539,[빙그레]메로나
2022년 2월,520,[빙그레]메로나
2022년 1월,529,[빙그레]메로나
2021년 12월,"5,774",[빙그레]투게더 바닐라맛
2021년 11월,"5,779",[빙그레]투게더 바닐라맛
2021년 10월,"5,770",[빙그레]투게더 바닐라맛
2021년 9월,"5,658",[빙그레]투게더 바닐라맛
2021년 8월,"5,729",[빙그레]투게더 바닐라맛
2021년 7월,"5,742",[빙그레]투게더 바닐라맛
2021년 6월,"5,681",[빙그레]투게더 바닐라맛
2021년 5월,"5,681",[빙그레]투게더 바닐라맛
2021년 4월,"5,504",[빙그레]투게더 바닐라맛
2021년 3월,"5,722",[빙그레]투게더 바닐라맛
2021년 2월,"5,707",[빙그레]투게더 바닐라맛
2021년 1월,"5,769",[빙그레]투게더 바닐라맛
2021년 12월,527,[빙그레]메로나
2021년 11월,520,[빙그레]메로나
2021년 10월,531,[빙그레]메로나
2021년 9월,517,[빙그레]메로나
2021년 8월,515,[빙그레]메로나
2021년 7월,524,[빙그레]메로나
2021년 6월,529,[빙그레]메로나
2021년 5월,523,[빙그레]메로나
2021년 4월,529,[빙그레]메로나
2021년 3월,535,[빙그레]메로나
2021년 2월,538,[빙그레]메로나
2021년 1월,540,[빙그레]메로나
2020년 12월,"5,650",[빙그레]투게더 바닐라맛
2020년 11월,"5,633",[빙그레]투게더 바닐라맛
2020년 10월,"5,653",[빙그레]투게더 바닐라맛
2020년 9월,"5,538",[빙그레]투게더 바닐라맛
2020년 8월,"5,537",[빙그레]투게더 바닐라맛
2020년 7월,"5,552",[빙그레]투게더 바닐라맛
2020년 6월,"5,532",[빙그레]투게더 바닐라맛
2020년 5월,"5,578",[빙그레]투게더 바닐라맛
2020년 4월,"5,637",[빙그레]투게더 바닐라맛
2020년 3월,"5,565",[빙그레]투게더 바닐라맛
2020년 2월,"5,520",[빙그레]투게더 바닐라맛
2020년 1월,"5,498",[빙그레]투게더 바닐라맛
2020년 12월,542,[빙그레]메로나
2020년 11월,556,[빙그레]메로나
2020년 10월,545,[빙그레]메로나
2020년 9월,541,[빙그레]메로나
2020년 8월,533,[빙그레]메로나
2020년 7월,546,[빙그레]메로나
2020년 6월,554,[빙그레]메로나
2020년 5월,559,[빙그레]메로나
2020년 4월,564,[빙그레]메로나
2020년 3월,574,[빙그레]메로나
2020년 2월,573,[빙그레]메로나
2020년 1월,574,[빙그레]메로나
2019년 12월,"5,529",[빙그레]투게더 바닐라맛
2019년 11월,"5,507",[빙그레]투게더 바닐라맛
2019년 10월,"5,519",[빙그레]투게더 바닐라맛
2019년 9월,"5,235",[빙그레]투게더 바닐라맛
2019년 8월,"5,217",[빙그레]투게더 바닐라맛
2019년 7월,"5,441",[빙그레]투게더 바닐라맛
2019년 6월,"5,408",[빙그레]투게더 바닐라맛
2019년 5월,"5,230",[빙그레]투게더 바닐라맛
2019년 4월,"5,200",[빙그레]투게더 바닐라맛
2019년 3월,"5,389",[빙그레]투게더 바닐라맛
2019년 2월,"5,168",[빙그레]투게더 바닐라맛
2019년 1월,"5,176",[빙그레]투게더 바닐라맛
2019년 12월,559,[빙그레]메로나
2019년 11월,553,[빙그레]메로나
2019년 10월,552,[빙그레]메로나
2019년 9월,539,[빙그레]메로나
2019년 8월,514,[빙그레]메로나
2019년 7월,516,[빙그레]메로나
2019년 6월,527,[빙그레]메로나
2019년 5월,545,[빙그레]메로나
2019년 4월,538,[빙그레]메로나
2019년 3월,554,[빙그레]메로나
2019년 2월,548,[빙그레]메로나
2019년 1월,560,[빙그레]메로나
2018년 12월,"5,466",[빙그레]투게더 바닐라맛
2018년 11월,"5,464",[빙그레]투게더 바닐라맛
2018년 10월,"5,500",[빙그레]투게더 바닐라맛
2018년 9월,"5,434",[빙그레]투게더 바닐라맛
2018년 8월,"5,471",[빙그레]투게더 바닐라맛
2018년 7월,"5,424",[빙그레]투게더 바닐라맛
2018년 6월,"5,425",[빙그레]투게더 바닐라맛
2018년 5월,"5,414",[빙그레]투게더 바닐라맛
2018년 4월,"5,401",[빙그레]투게더 바닐라맛
2018년 3월,"5,320",[빙그레]투게더 바닐라맛
2018년 2월,"4,966",[빙그레]투게더 바닐라맛
2018년 1월,"4,921",[빙그레]투게더 바닐라맛
2018년 12월,490,[빙그레]메로나
2018년 11월,508,[빙그레]메로나
2018년 10월,498,[빙그레]메로나
2018년 9월,499,[빙그레]메로나
2018년 8월,494,[빙그레]메로나
2018년 7월,496,[빙그레]메로나
2018년 6월,514,[빙그레]메로나
2018년 5월,509,[빙그레]메로나
2018년 4월,518,[빙그레]메로나
2018년 3월,514,[빙그레]메로나
2018년 2월,511,[빙그레]메로나
2018년 1월,513,[빙그레]메로나
2017년 12월,"4,904",[빙그레]투게더 바닐라맛
2017년 11월,"4,834",[빙그레]투게더 바닐라맛
2017년 10월,"4,886",[빙그레]투게더 바닐라맛
2017년 9월,"4,911",[빙그레]투게더 바닐라맛
2017년 8월,"4,852",[빙그레]투게더 바닐라맛
2017년 7월,"4,848",[빙그레]투게더 바닐라맛
2017년 6월,"4,857",[빙그레]투게더 바닐라맛
2017년 5월,"4,856",[빙그레]투게더 바닐라맛
2017년 4월,"4,894",[빙그레]투게더 바닐라맛
2017년 3월,"4,997",[빙그레]투게더 바닐라맛
2017년 2월,"5,038",[빙그레]투게더 바닐라맛
2017년 1월,"5,060",[빙그레]투게더 바닐라맛
2017년 12월,521,[빙그레]메로나
2017년 11월,509,[빙그레]메로나
2017년 10월,507,[빙그레]메로나
2017년 9월,490,[빙그레]메로나
2017년 8월,493,[빙그레]메로나
2017년 7월,490,[빙그레]메로나
2017년 6월,502,[빙그레]메로나
2017년 5월,509,[빙그레]메로나
2017년 4월,519,[빙그레]메로나
2017년 3월,522,[빙그레]메로나
2017년 2월,521,[빙그레]메로나
2017년 1월,523,[빙그레]메로나
2016년 12월,"5,005",[빙그레]투게더 바닐라맛
2016년 11월,"5,041",[빙그레]투게더 바닐라맛
2016년 10월,"5,011",[빙그레]투게더 바닐라맛
2016년 9월,"5,040",[빙그레]투게더 바닐라맛
2016년 8월,"5,054",[빙그레]투게더 바닐라맛
2016년 7월,"5,005",[빙그레]투게더 바닐라맛
2016년 6월,"5,027",[빙그레]투게더 바닐라맛
2016년 5월,"5,005",[빙그레]투게더 바닐라맛
2016년 4월,"5,010",[빙그레]투게더 바닐라맛
2016년 3월,"5,016",[빙그레]투게더 바닐라맛
2016년 2월,"4,897",[빙그레]투게더 바닐라맛
2016년 1월,"4,921",[빙그레]투게더 바닐라맛
2016년 12월,517,[빙그레]메로나
2016년 11월,512,[빙그레]메로나
2016년 10월,514,[빙그레]메로나
2016년 9월,514,[빙그레]메로나
2016년 8월,494,[빙그레]메로나
2016년 7월,470,[빙그레]메로나
2016년 6월,477,[빙그레]메로나
2016년 5월,481,[빙그레]메로나
2016년 4월,483,[빙그레]메로나
2016년 3월,497,[빙그레]메로나
2016년 2월,497,[빙그레]메로나
2016년 1월,495,[빙그레]메로나
2015년 12월,"4,932",[빙그레]투게더 바닐라맛
2015년 11월,"4,905",[빙그레]투게더 바닐라맛
2015년 10월,"4,905",[빙그레]투게더 바닐라맛
2015년 9월,"4,894",[빙그레]투게더 바닐라맛
2015년 8월,"4,920",[빙그레]투게더 바닐라맛
2015년 7월,"4,865",[빙그레]투게더 바닐라맛
2015년 6월,"4,869",[빙그레]투게더 바닐라맛
2015년 5월,"4,846",[빙그레]투게더 바닐라맛
2015년 4월,"4,870",[빙그레]투게더 바닐라맛
2015년 3월,"4,907",[빙그레]투게더 바닐라맛
2015년 2월,"4,922",[빙그레]투게더 바닐라맛
2015년 1월,"4,937",[빙그레]투게더 바닐라맛
2015년 12월,495,[빙그레]메로나
2015년 11월,492,[빙그레]메로나
2015년 10월,491,[빙그레]메로나
2015년 9월,488,[빙그레]메로나
2015년 8월,485,[빙그레]메로나
2015년 7월,492,[빙그레]메로나
2015년 6월,495,[빙그레]메로나
2015년 5월,492,[빙그레]메로나
2015년 4월,490,[빙그레]메로나
2015년 3월,481,[빙그레]메로나
2015년 2월,482,[빙그레]메로나
2015년 1월,485,[빙그레]메로나
2014년 12월,"4,988",[빙그레]투게더 바닐라맛
2014년 11월,"4,981",[빙그레]투게더 바닐라맛
2014년 10월,"5,002",[빙그레]투게더 바닐라맛
2014년 9월,"4,971",[빙그레]투게더 바닐라맛
2014년 8월,"4,953",[빙그레]투게더 바닐라맛
2014년 7월,"4,969",[빙그레]투게더 바닐라맛
2014년 6월,"4,959",[빙그레]투게더 바닐라맛
2014년 5월,"4,963",[빙그레]투게더 바닐라맛
2014년 4월,"4,923",[빙그레]투게더 바닐라맛
2014년 3월,"4,943",[빙그레]투게더 바닐라맛
2014년 2월,"4,923",[빙그레]투게더 바닐라맛
2014년 1월,"4,933",[빙그레]투게더 바닐라맛
2014년 12월,493,[빙그레]메로나
2014년 11월,489,[빙그레]메로나
2014년 10월,491,[빙그레]메로나
2014년 9월,494,[빙그레]메로나
2014년 8월,480,[빙그레]메로나
2014년 7월,490,[빙그레]메로나
2014년 6월,493,[빙그레]메로나
2014년 5월,498,[빙그레]메로나
2014년 4월,488,[빙그레]메로나
2014년 3월,495,[빙그레]메로나
2014년 2월,502,[빙그레]메로나
2014년 1월,485,[빙그레]메로나
2013년 12월,"4,898",[빙그레]투게더 바닐라맛
2013년 11월,"4,856",[빙그레]투게더 바닐라맛
2013년 10월,"4,841",[빙그레]투게더 바닐라맛
2013년 9월,"4,838",[빙그레]투게더 바닐라맛
2013년 8월,"4,864",[빙그레]투게더 바닐라맛
2013년 7월,"4,921",[빙그레]투게더 바닐라맛
2013년 6월,"4,898",[빙그레]투게더 바닐라맛
2013년 5월,"4,864",[빙그레]투게더 바닐라맛
2013년 4월,"4,895",[빙그레]투게더 바닐라맛
2013년 3월,"4,887",[빙그레]투게더 바닐라맛
2013년 2월,-,[빙그레]투게더 바닐라맛
2013년 1월,-,[빙그레]투게더 바닐라맛
2013년 12월,483,[빙그레]메로나
2013년 11월,478,[빙그레]메로나
2013년 10월,476,[빙그레]메로나
2013년 9월,455,[빙그레]메로나
2013년 8월,458,[빙그레]메로나
2013년 7월,458,[빙그레]메로나
2013년 6월,488,[빙그레]메로나
2013년 5월,486,[빙그레]메로나
2013년 4월,485,[빙그레]메로나
2013년 3월,512,[빙그레]메로나
2013년 2월,-,[빙그레]메로나
2013년 1월,-,[빙그레]메로나
