날짜,price,제품명
2022년 4월,"1,676",[CJ제일제당]햇반
2022년 3월,"1,601",[CJ제일제당]햇반
2022년 2월,"1,595",[CJ제일제당]햇반
2022년 1월,"1,592",[CJ제일제당]햇반
2021년 12월,"1,636",[CJ제일제당]햇반
2021년 11월,"1,599",[CJ제일제당]햇반
2021년 10월,"1,612",[CJ제일제당]햇반
2021년 9월,"1,613",[CJ제일제당]햇반
2021년 8월,"1,631",[CJ제일제당]햇반
2021년 7월,"1,615",[CJ제일제당]햇반
2021년 6월,"1,641",[CJ제일제당]햇반
2021년 5월,"1,639",[CJ제일제당]햇반
2021년 4월,"1,638",[CJ제일제당]햇반
2021년 3월,"1,640",[CJ제일제당]햇반
2021년 2월,"1,581",[CJ제일제당]햇반
2021년 1월,"1,557",[CJ제일제당]햇반
2020년 12월,"1,555",[CJ제일제당]햇반
2020년 11월,"1,555",[CJ제일제당]햇반
2020년 10월,"1,551",[CJ제일제당]햇반
2020년 9월,"1,541",[CJ제일제당]햇반
2020년 8월,"1,547",[CJ제일제당]햇반
2020년 7월,"1,549",[CJ제일제당]햇반
2020년 6월,"1,546",[CJ제일제당]햇반
2020년 5월,"1,540",[CJ제일제당]햇반
2020년 4월,"1,519",[CJ제일제당]햇반
2020년 3월,"1,508",[CJ제일제당]햇반
2020년 2월,"1,470",[CJ제일제당]햇반
2020년 1월,"1,482",[CJ제일제당]햇반
2019년 12월,"1,542",[CJ제일제당]햇반
2019년 11월,"1,543",[CJ제일제당]햇반
2019년 10월,"1,523",[CJ제일제당]햇반
2019년 9월,"1,547",[CJ제일제당]햇반
2019년 8월,"1,539",[CJ제일제당]햇반
2019년 7월,"1,547",[CJ제일제당]햇반
2019년 6월,"1,557",[CJ제일제당]햇반
2019년 5월,"1,550",[CJ제일제당]햇반
2019년 4월,"1,567",[CJ제일제당]햇반
2019년 3월,"1,548",[CJ제일제당]햇반
2019년 2월,"1,512",[CJ제일제당]햇반
2019년 1월,"1,491",[CJ제일제당]햇반
2018년 12월,"1,463",[CJ제일제당]햇반
2018년 11월,"1,482",[CJ제일제당]햇반
2018년 10월,"1,480",[CJ제일제당]햇반
2018년 9월,"1,463",[CJ제일제당]햇반
2018년 8월,"1,453",[CJ제일제당]햇반
2018년 7월,"1,460",[CJ제일제당]햇반
2018년 6월,"1,456",[CJ제일제당]햇반
2018년 5월,"1,461",[CJ제일제당]햇반
2018년 4월,"1,471",[CJ제일제당]햇반
2018년 3월,"1,436",[CJ제일제당]햇반
2018년 2월,"1,382",[CJ제일제당]햇반
2018년 1월,"1,372",[CJ제일제당]햇반
2017년 12월,"1,367",[CJ제일제당]햇반
2017년 11월,"1,358",[CJ제일제당]햇반
2017년 10월,"1,371",[CJ제일제당]햇반
2017년 9월,"1,366",[CJ제일제당]햇반
2017년 8월,"1,364",[CJ제일제당]햇반
2017년 7월,"1,372",[CJ제일제당]햇반
2017년 6월,"1,367",[CJ제일제당]햇반
2017년 5월,"1,379",[CJ제일제당]햇반
2017년 4월,"1,371",[CJ제일제당]햇반
2017년 3월,"1,342",[CJ제일제당]햇반
2017년 2월,"1,374",[CJ제일제당]햇반
2017년 1월,"1,373",[CJ제일제당]햇반
2016년 12월,"1,383",[CJ제일제당]햇반
2016년 11월,"1,387",[CJ제일제당]햇반
2016년 10월,"1,381",[CJ제일제당]햇반
2016년 9월,"1,371",[CJ제일제당]햇반
2016년 8월,"1,389",[CJ제일제당]햇반
2016년 7월,"1,371",[CJ제일제당]햇반
2016년 6월,"1,374",[CJ제일제당]햇반
2016년 5월,"1,369",[CJ제일제당]햇반
2016년 4월,"1,367",[CJ제일제당]햇반
2016년 3월,"1,376",[CJ제일제당]햇반
2016년 2월,"1,569",[CJ제일제당]햇반
2016년 1월,"1,552",[CJ제일제당]햇반
