날짜,price,제품명
2022년 4월,"24,606",[동서식품]맥심 모카골드 믹스
2022년 3월,"24,586",[동서식품]맥심 모카골드 믹스
2022년 2월,"23,988",[동서식품]맥심 모카골드 믹스
2022년 1월,"23,202",[동서식품]맥심 모카골드 믹스
2021년 12월,"22,516",[동서식품]맥심 모카골드 믹스
2021년 11월,"22,417",[동서식품]맥심 모카골드 믹스
2021년 10월,"22,602",[동서식품]맥심 모카골드 믹스
2021년 9월,"22,246",[동서식품]맥심 모카골드 믹스
2021년 8월,"22,328",[동서식품]맥심 모카골드 믹스
2021년 7월,"22,244",[동서식품]맥심 모카골드 믹스
2021년 6월,"22,330",[동서식품]맥심 모카골드 믹스
2021년 5월,"22,170",[동서식품]맥심 모카골드 믹스
2021년 4월,"22,233",[동서식품]맥심 모카골드 믹스
2021년 3월,"22,715",[동서식품]맥심 모카골드 믹스
2021년 2월,"22,605",[동서식품]맥심 모카골드 믹스
2021년 1월,"22,544",[동서식품]맥심 모카골드 믹스
2020년 12월,"22,196",[동서식품]맥심 모카골드 믹스
2020년 11월,"22,417",[동서식품]맥심 모카골드 믹스
2020년 10월,"22,427",[동서식품]맥심 모카골드 믹스
2020년 9월,"22,498",[동서식품]맥심 모카골드 믹스
2020년 8월,"22,204",[동서식품]맥심 모카골드 믹스
2020년 7월,"22,537",[동서식품]맥심 모카골드 믹스
2020년 6월,"22,443",[동서식품]맥심 모카골드 믹스
2020년 5월,"22,267",[동서식품]맥심 모카골드 믹스
2020년 4월,"22,255",[동서식품]맥심 모카골드 믹스
2020년 3월,"22,177",[동서식품]맥심 모카골드 믹스
2020년 2월,"22,340",[동서식품]맥심 모카골드 믹스
2020년 1월,"22,368",[동서식품]맥심 모카골드 믹스
2019년 12월,"21,971",[동서식품]맥심 모카골드 믹스
2019년 11월,"22,293",[동서식품]맥심 모카골드 믹스
2019년 10월,"22,324",[동서식품]맥심 모카골드 믹스
2019년 9월,"22,773",[동서식품]맥심 모카골드 믹스
2019년 8월,"22,693",[동서식품]맥심 모카골드 믹스
2019년 7월,"22,609",[동서식품]맥심 모카골드 믹스
2019년 6월,"22,885",[동서식품]맥심 모카골드 믹스
2019년 5월,"22,856",[동서식품]맥심 모카골드 믹스
2019년 4월,"22,802",[동서식품]맥심 모카골드 믹스
2019년 3월,"22,960",[동서식품]맥심 모카골드 믹스
2019년 2월,"22,685",[동서식품]맥심 모카골드 믹스
2019년 1월,"22,830",[동서식품]맥심 모카골드 믹스
2018년 12월,"22,752",[동서식품]맥심 모카골드 믹스
2018년 11월,"22,525",[동서식품]맥심 모카골드 믹스
2018년 10월,"22,575",[동서식품]맥심 모카골드 믹스
2018년 9월,"22,322",[동서식품]맥심 모카골드 믹스
2018년 8월,"22,074",[동서식품]맥심 모카골드 믹스
2018년 7월,"22,404",[동서식품]맥심 모카골드 믹스
2018년 6월,"22,773",[동서식품]맥심 모카골드 믹스
2018년 5월,"22,310",[동서식품]맥심 모카골드 믹스
2018년 4월,"22,670",[동서식품]맥심 모카골드 믹스
2018년 3월,"22,487",[동서식품]맥심 모카골드 믹스
2018년 2월,"22,534",[동서식품]맥심 모카골드 믹스
2018년 1월,"22,602",[동서식품]맥심 모카골드 믹스
2017년 12월,"22,591",[동서식품]맥심 모카골드 믹스
2017년 11월,"22,749",[동서식품]맥심 모카골드 믹스
2017년 10월,"22,632",[동서식품]맥심 모카골드 믹스
2017년 9월,"22,512",[동서식품]맥심 모카골드 믹스
2017년 8월,"21,880",[동서식품]맥심 모카골드 믹스
2017년 7월,"22,479",[동서식품]맥심 모카골드 믹스
2017년 6월,"22,365",[동서식품]맥심 모카골드 믹스
2017년 5월,"22,489",[동서식품]맥심 모카골드 믹스
2017년 4월,"22,488",[동서식품]맥심 모카골드 믹스
2017년 3월,"23,281",[동서식품]맥심 모카골드 믹스
2017년 2월,"22,964",[동서식품]맥심 모카골드 믹스
2017년 1월,"22,665",[동서식품]맥심 모카골드 믹스
2016년 12월,"22,751",[동서식품]맥심 모카골드 믹스
2016년 11월,"22,601",[동서식품]맥심 모카골드 믹스
2016년 10월,"23,069",[동서식품]맥심 모카골드 믹스
2016년 9월,"23,415",[동서식품]맥심 모카골드 믹스
2016년 8월,"23,103",[동서식품]맥심 모카골드 믹스
2016년 7월,"23,078",[동서식품]맥심 모카골드 믹스
2016년 6월,"22,957",[동서식품]맥심 모카골드 믹스
2016년 5월,"23,024",[동서식품]맥심 모카골드 믹스
2016년 4월,"22,968",[동서식품]맥심 모카골드 믹스
2016년 3월,"23,183",[동서식품]맥심 모카골드 믹스
2016년 2월,"23,198",[동서식품]맥심 모카골드 믹스
2016년 1월,"22,694",[동서식품]맥심 모카골드 믹스
2015년 12월,"22,976",[동서식품]맥심 모카골드 믹스
2015년 11월,"22,599",[동서식품]맥심 모카골드 믹스
2015년 10월,"22,813",[동서식품]맥심 모카골드 믹스
2015년 9월,"22,780",[동서식품]맥심 모카골드 믹스
2015년 8월,"22,657",[동서식품]맥심 모카골드 믹스
2015년 7월,"22,795",[동서식품]맥심 모카골드 믹스
2015년 6월,"22,712",[동서식품]맥심 모카골드 믹스
2015년 5월,"22,530",[동서식품]맥심 모카골드 믹스
2015년 4월,"22,872",[동서식품]맥심 모카골드 믹스
2015년 3월,"23,192",[동서식품]맥심 모카골드 믹스
2015년 2월,"22,362",[동서식품]맥심 모카골드 믹스
2015년 1월,"23,156",[동서식품]맥심 모카골드 믹스
2014년 12월,"23,229",[동서식품]맥심 모카골드 믹스
2014년 11월,"22,854",[동서식품]맥심 모카골드 믹스
2014년 10월,"22,980",[동서식품]맥심 모카골드 믹스
2014년 9월,"22,832",[동서식품]맥심 모카골드 믹스
2014년 8월,"23,001",[동서식품]맥심 모카골드 믹스
2014년 7월,"22,560",[동서식품]맥심 모카골드 믹스
2014년 6월,"22,613",[동서식품]맥심 모카골드 믹스
2014년 5월,"22,508",[동서식품]맥심 모카골드 믹스
2014년 4월,"22,744",[동서식품]맥심 모카골드 믹스
2014년 3월,"22,549",[동서식품]맥심 모카골드 믹스
2014년 2월,"22,651",[동서식품]맥심 모카골드 믹스
2014년 1월,"22,814",[동서식품]맥심 모카골드 믹스
2013년 12월,"22,769",[동서식품]맥심 모카골드 믹스
2013년 11월,"22,784",[동서식품]맥심 모카골드 믹스
2013년 10월,"22,864",[동서식품]맥심 모카골드 믹스
2013년 9월,"22,926",[동서식품]맥심 모카골드 믹스
2013년 8월,"23,339",[동서식품]맥심 모카골드 믹스
2013년 7월,"23,473",[동서식품]맥심 모카골드 믹스
2013년 6월,"23,505",[동서식품]맥심 모카골드 믹스
2013년 5월,"23,577",[동서식품]맥심 모카골드 믹스
2013년 4월,"23,642",[동서식품]맥심 모카골드 믹스
2013년 3월,"23,382",[동서식품]맥심 모카골드 믹스
2013년 2월,"23,689",[동서식품]맥심 모카골드 믹스
2013년 1월,"23,707",[동서식품]맥심 모카골드 믹스
