날짜,price,제품명,next_price,원유 팜유 선물 내역.csv종가-1,원유 팜유 선물 내역.csv거래량-15,원유 팜유 선물 내역.csv변동 %-13,런던 설탕 선물 내역.csv종가-9,런던 설탕 선물 내역.csv거래량-15,런던 설탕 선물 내역.csv변동 %-7,미국 옥수수 선물 내역.csv종가-3,미국 옥수수 선물 내역.csv거래량-1,미국 옥수수 선물 내역.csv변동 %-1,미국 대두박 선물 내역.csv종가-5,미국 대두박 선물 내역.csv거래량-1,미국 대두박 선물 내역.csv변동 %-4
2013-05-01,6258,[CJ제일제당]해찬들 담백한 재래식 된장,6195.0,480.5,22070.0,3.36,477.3,104060.0,-5.5,662.0,1220000.0,-3.11,447.2,567600.0,4.41
2013-06-01,6195,[CJ제일제당]해찬들 담백한 재래식 된장,5990.0,480.5,22070.0,3.36,477.3,104060.0,-5.5,662.0,1220000.0,-3.11,447.2,567600.0,4.41
2013-07-01,5990,[CJ제일제당]해찬들 담백한 재래식 된장,6065.0,502.5,22070.0,3.36,477.3,104060.0,-5.5,662.0,2049999.9999999998,2.61,447.2,702900.0,4.41
2013-08-01,6065,[CJ제일제당]해찬들 담백한 재래식 된장,6094.0,496.4,22070.0,3.36,477.3,104060.0,-5.5,662.0,988750.0,-26.54,447.2,291490.0,4.41
2013-09-01,6094,[CJ제일제당]해찬들 담백한 재래식 된장,5989.0,569.4,22070.0,3.36,477.3,104060.0,-5.5,679.25,1620000.0,-0.8,447.2,193020.0,4.41
2013-10-01,5989,[CJ제일제당]해찬들 담백한 재래식 된장,5949.0,532.8,22070.0,3.36,477.3,104060.0,-5.5,499.0,1320000.0,-10.81,447.2,156820.0,9.64
2013-11-01,5949,[CJ제일제당]해찬들 담백한 재래식 된장,5897.0,556.5,22070.0,3.36,477.3,104060.0,-5.5,495.0,2950000.0,-3.0,490.3,532980.0,-11.26
2013-12-01,5897,[CJ제일제당]해찬들 담백한 재래식 된장,5899.0,558.5,22070.0,3.36,477.3,104060.0,-5.5,441.5,3720000.0,-3.04,435.1,693140.0,7.61
2014-01-01,5899,[CJ제일제당]해찬들 담백한 재래식 된장,6047.0,540.6,22070.0,3.36,477.3,104060.0,5.24,428.25,879440.0,1.63,468.2,270300.0,-12.45
2014-02-01,6047,[CJ제일제당]해찬들 담백한 재래식 된장,5842.0,523.9,22070.0,3.36,477.3,104060.0,-2.31,415.25,3250000.0,2.84,409.9,521250.0,-1.54
2014-03-01,5842,[CJ제일제당]해찬들 담백한 재래식 된장,6027.0,590.1,22070.0,3.36,502.3,104060.0,-2.61,422.0,3190000.0,5.41,403.6,741810.0,13.13
2014-04-01,6027,[CJ제일제당]해찬들 담백한 재래식 된장,5846.0,569.6,22070.0,3.36,490.7,104060.0,1.72,434.0,1340000.0,9.73,456.6,394230.0,-4.14
2014-05-01,5846,[CJ제일제당]해찬들 담백한 재래식 된장,5938.0,556.7,22070.0,3.36,477.9,104060.0,-0.58,457.5,2650000.0,2.39,437.7,697580.0,-2.65
2014-06-01,5938,[CJ제일제당]해찬들 담백한 재래식 된장,5806.0,525.0,22070.0,3.36,486.1,104060.0,-3.99,502.0,1270000.0,-9.39,426.1,379810.0,9.81
