날짜,price,제품명,next_price,쌀20kg.csv종가-2,쌀20kg.csv거래량-7,쌀20kg.csv변동 %-1
2016-01-01,1552,[CJ제일제당]햇반,1569.0,36200.0,0.0,5530.0
2016-02-01,1569,[CJ제일제당]햇반,1376.0,36200.0,0.0,5530.0
2016-03-01,1376,[CJ제일제당]햇반,1367.0,36200.0,0.0,17130.0
2016-04-01,1367,[CJ제일제당]햇반,1369.0,36200.0,0.0,7260.0
2016-05-01,1369,[CJ제일제당]햇반,1374.0,36200.0,0.0,20630.0
2016-06-01,1374,[CJ제일제당]햇반,1371.0,36200.0,0.0,7280.0
2016-07-01,1371,[CJ제일제당]햇반,1389.0,36200.0,0.0,17220.0
2016-08-01,1389,[CJ제일제당]햇반,1371.0,36200.0,0.0,5080.0
2016-09-01,1371,[CJ제일제당]햇반,1381.0,36200.0,0.0,16970.0
2016-10-01,1381,[CJ제일제당]햇반,1387.0,36041.0,0.0,4690.0
2016-11-01,1387,[CJ제일제당]햇반,1383.0,34105.0,0.0,18600.0
2016-12-01,1383,[CJ제일제당]햇반,1373.0,30915.0,0.0,5290.0
2017-01-01,1373,[CJ제일제당]햇반,1374.0,32400.0,0.0,17770.0
2017-02-01,1374,[CJ제일제당]햇반,1342.0,32400.0,0.0,5910.0
2017-03-01,1342,[CJ제일제당]햇반,1371.0,32035.0,-1.59,18790.0
2017-04-01,1371,[CJ제일제당]햇반,1379.0,31800.0,-19.36,6600.0
2017-05-01,1379,[CJ제일제당]햇반,1367.0,31800.0,-31.9,18240.0
2017-06-01,1367,[CJ제일제당]햇반,1372.0,31800.0,14.85,8400.0
2017-07-01,1372,[CJ제일제당]햇반,1364.0,31800.0,0.0,14860.0
2017-08-01,1364,[CJ제일제당]햇반,1366.0,31805.0,-3.65,4070.0000000000005
2017-09-01,1366,[CJ제일제당]햇반,1371.0,31957.0,-2.35,15270.0
2017-10-01,1371,[CJ제일제당]햇반,1358.0,32518.0,0.0,7480.0
2017-11-01,1358,[CJ제일제당]햇반,1367.0,33829.0,0.0,14410.0
2017-12-01,1367,[CJ제일제당]햇반,1372.0,36938.0,0.0,7660.0
2018-01-01,1372,[CJ제일제당]햇반,1382.0,38332.0,0.05,12410.0
2018-02-01,1382,[CJ제일제당]햇반,1436.0,39032.0,1.52,8560.0
2018-03-01,1436,[CJ제일제당]햇반,1471.0,39878.0,5.61,11330.0
2018-04-01,1471,[CJ제일제당]햇반,1461.0,41888.0,13.11,3480.0
2018-05-01,1461,[CJ제일제당]햇반,1456.0,43470.0,31.09,12990.0
2018-06-01,1456,[CJ제일제당]햇반,1460.0,44677.0,13.94,8970.0
2018-07-01,1460,[CJ제일제당]햇반,1453.0,44540.0,7.0,16420.0
2018-08-01,1453,[CJ제일제당]햇반,1463.0,44713.0,8.46,3540.0
2018-09-01,1463,[CJ제일제당]햇반,1480.0,45719.0,20.1,14490.0
2018-10-01,1480,[CJ제일제당]햇반,1482.0,45973.0,15.82,6460.0
2018-11-01,1482,[CJ제일제당]햇반,1463.0,46594.0,12.07,15820.0
2018-12-01,1463,[CJ제일제당]햇반,1491.0,48569.0,-1.37,3360.0
2019-01-01,1491,[CJ제일제당]햇반,1512.0,49556.0,1.73,11590.0
2019-02-01,1512,[CJ제일제당]햇반,1548.0,49380.0,10.06,4830.0
2019-03-01,1548,[CJ제일제당]햇반,1567.0,49385.0,2.54,12920.0
2019-04-01,1567,[CJ제일제당]햇반,1550.0,49380.0,6.21,7660.0
2019-05-01,1550,[CJ제일제당]햇반,1557.0,49398.0,19.75,14450.0
2019-06-01,1557,[CJ제일제당]햇반,1547.0,49274.0,9.87,10690.0
2019-07-01,1547,[CJ제일제당]햇반,1539.0,49180.0,-1.76,12910.0
2019-08-01,1539,[CJ제일제당]햇반,1547.0,49043.0,0.05,7010.0
2019-09-01,1547,[CJ제일제당]햇반,1523.0,48980.0,-0.05,15800.0
2019-10-01,1523,[CJ제일제당]햇반,1543.0,48993.0,0.18,7360.0
2019-11-01,1543,[CJ제일제당]햇반,1542.0,48933.0,-1.24,15590.0
2019-12-01,1542,[CJ제일제당]햇반,1482.0,46787.0,-0.94,7020.0
2020-01-01,1482,[CJ제일제당]햇반,1470.0,47242.0,-1.37,15370.0
2020-02-01,1470,[CJ제일제당]햇반,1508.0,47040.0,-0.63,7650.0
2020-03-01,1508,[CJ제일제당]햇반,1519.0,47100.0,0.13,17400.0
2020-04-01,1519,[CJ제일제당]햇반,1540.0,47064.0,-0.6,10450.0
2020-05-01,1540,[CJ제일제당]햇반,1546.0,47106.0,-21.46,15690.0
2020-06-01,1546,[CJ제일제당]햇반,1549.0,46990.0,4.55,4450.0
2020-07-01,1549,[CJ제일제당]햇반,1547.0,46974.0,-2.02,13430.0
2020-08-01,1547,[CJ제일제당]햇반,1541.0,48393.0,0.6,4870.0
2020-09-01,1541,[CJ제일제당]햇반,1551.0,48719.0,-0.36,9640.0
2020-10-01,1551,[CJ제일제당]햇반,1555.0,49404.0,0.42,3970.0
2020-11-01,1555,[CJ제일제당]햇반,1555.0,51159.0,-1.16,14660.0
2020-12-01,1555,[CJ제일제당]햇반,1557.0,53719.0,-0.16,3430.0
2021-01-01,1557,[CJ제일제당]햇반,1581.0,55599.0,14.19,14680.0
2021-02-01,1581,[CJ제일제당]햇반,1640.0,56217.0,3.26,4520.0
2021-03-01,1640,[CJ제일제당]햇반,1638.0,56548.0,6.85,13400.0
2021-04-01,1638,[CJ제일제당]햇반,1639.0,57430.0,17.55,3500.0
2021-05-01,1639,[CJ제일제당]햇반,1641.0,58051.0,25.6,12120.0
2021-06-01,1641,[CJ제일제당]햇반,1615.0,58523.0,18.8,4840.0
2021-07-01,1615,[CJ제일제당]햇반,1631.0,58706.0,6.18,11360.0
2021-08-01,1631,[CJ제일제당]햇반,1613.0,58889.0,3.31,4860.0
2021-09-01,1613,[CJ제일제당]햇반,1612.0,59102.0,8.82,11220.0
2021-10-01,1612,[CJ제일제당]햇반,1599.0,59012.0,6.21,6570.0
2021-11-01,1599,[CJ제일제당]햇반,1636.0,57387.0,4.72,13000.0
2021-12-01,1636,[CJ제일제당]햇반,1592.0,55875.0,1.83,8100.0
2022-01-01,1592,[CJ제일제당]햇반,1595.0,53746.0,1.83,13570.0
2022-02-01,1595,[CJ제일제당]햇반,1601.0,52936.0,2.13,5520.0
2022-03-01,1601,[CJ제일제당]햇반,1676.0,53450.0,-0.9,13510.0
2022-04-01,1676,[CJ제일제당]햇반,1676.0,52597.0,-16.25,5660.0
