날짜,price,제품명,next_price,런던 소맥 선물 내역.csv종가-1,런던 소맥 선물 내역.csv거래량-1,런던 소맥 선물 내역.csv변동 %-3,미국 대두 선물 내역.csv종가-14,미국 대두 선물 내역.csv변동 %-14,미국 소맥 선물 내역.csv종가-14,미국 소맥 선물 내역.csv변동 %-14,원유 팜유 선물 내역.csv종가-4,원유 팜유 선물 내역.csv거래량-1,원유 팜유 선물 내역.csv변동 %-12
2013-01-01,3194,[농심]신라면,3205.0,212.3,70.0,3.43,1470.63,4.41,781.63,0.4,438.2,63530.0,4.86
2013-02-01,3205,[농심]신라면,3202.0,212.3,70.0,3.43,1470.63,4.41,781.63,0.4,438.2,63530.0,4.86
2013-03-01,3202,[농심]신라면,3200.0,202.65,230.0,3.43,1470.63,4.41,781.63,0.4,438.2,43310.0,4.86
2013-04-01,3200,[농심]신라면,3202.0,199.25,610.0,3.43,1470.63,4.41,781.63,0.4,438.2,34460.0,4.86
2013-05-01,3202,[농심]신라면,3198.0,193.5,4350.0,-4.55,1470.63,4.41,781.63,0.4,438.2,32890.0,4.86
2013-06-01,3198,[농심]신라면,3189.0,182.5,130.0,-1.68,1470.63,4.41,781.63,0.4,451.1,22070.0,4.86
2013-07-01,3189,[농심]신라면,3188.0,155.7,1260.0,-2.89,1470.63,4.41,781.63,0.4,455.5,23230.0,4.86
2013-08-01,3188,[농심]신라면,3183.0,164.25,4240.0,-5.68,1470.63,4.41,781.63,0.4,464.9,26930.0,4.86
2013-09-01,3183,[농심]신라면,3191.0,157.5,10130.0,-14.68,1470.63,4.41,781.63,0.4,480.5,27240.0,4.86
2013-10-01,3191,[농심]신라면,3182.0,156.75,8640.0,5.49,1470.63,4.41,781.63,0.4,502.5,24320.0,4.86
2013-11-01,3182,[농심]신라면,3177.0,164.5,6890.0,-4.11,1470.63,4.41,781.63,0.4,496.4,18520.0,4.86
2013-12-01,3177,[농심]신라면,3199.0,164.5,440.0,-0.48,1470.63,4.41,781.63,0.4,569.4,20700.0,4.86
2014-01-01,3199,[농심]신라면,3207.0,163.75,1860.0,4.94,1470.63,4.41,781.63,0.4,532.8,19080.0,4.86
2014-02-01,3207,[농심]신라면,3178.0,149.5,160.0,0.0,1470.63,4.41,781.63,0.4,556.5,18860.0,2.94
2014-03-01,3178,[농심]신라면,3184.0,155.75,100.0,-0.46,1470.63,4.41,781.63,0.4,558.5,18010.0,0.98
