날짜,price,제품명,next_price,런던 설탕 선물 내역.csv종가-1,런던 설탕 선물 내역.csv거래량-1,런던 설탕 선물 내역.csv변동 %-6,런던 커피 선물 내역.csv종가-2,런던 커피 선물 내역.csv거래량-3,런던 커피 선물 내역.csv변동 %-8,미국 설탕 No.11 선물 내역.csv종가-1,미국 설탕 No.11 선물 내역.csv거래량-1,미국 설탕 No.11 선물 내역.csv변동 %-15,미국 커피 C 선물 내역.csv종가-2,미국 커피 C 선물 내역.csv거래량-15,미국 커피 C 선물 내역.csv변동 %-8
2013-01-01,23707,[동서식품]맥심 모카골드 믹스,23689.0,499.4,102630.0,-4.64,2018.0,5690.0,2.8,18.78,1090000.0,-3.74,146.95,363210.0,2.19
2013-02-01,23689,[동서식품]맥심 모카골드 믹스,23382.0,499.4,102630.0,-4.64,2018.0,5690.0,2.8,18.78,1090000.0,-3.74,146.95,363210.0,2.19
2013-03-01,23382,[동서식품]맥심 모카골드 믹스,23642.0,519.7,106060.0,-4.64,2018.0,5690.0,2.8,18.38,986280.0,-3.74,146.95,363210.0,2.19
2013-04-01,23642,[동서식품]맥심 모카골드 믹스,23577.0,503.3,94780.0,-4.64,2058.0,5690.0,2.8,17.66,959480.0,-3.74,142.65,363210.0,2.19
2013-05-01,23577,[동서식품]맥심 모카골드 믹스,23505.0,505.1,107690.0,-4.64,2023.0,121570.0,2.8,17.67,1060000.0,-3.74,137.15,363210.0,2.19
2013-06-01,23505,[동서식품]맥심 모카골드 믹스,23473.0,477.3,104060.0,-4.64,1965.0,750.0,2.8,16.55,1070000.0,-3.74,134.95,363210.0,2.19
2013-07-01,23473,[동서식품]맥심 모카골드 믹스,23339.0,502.3,112830.0,-4.64,1844.0,149990.0,2.8,16.38,1430000.0,-3.74,127.05,363210.0,2.19
2013-08-01,23339,[동서식품]맥심 모카골드 믹스,22926.0,490.7,79330.0,4.06,1731.0,1700.0,2.8,16.97,1150000.0,-3.74,120.0,363210.0,2.19
2013-09-01,22926,[동서식품]맥심 모카골드 믹스,22864.0,477.9,76710.0,-3.16,1842.0,142870.0,2.8,16.34,1140000.0,-3.74,118.6,363210.0,2.19
2013-10-01,22864,[동서식품]맥심 모카골드 믹스,22784.0,486.1,76180.0,0.36,1749.0,740.0,1.98,17.48,1450000.0,-3.74,112.1,363210.0,-2.93
