날짜,price,제품명,next_price,런던 설탕 선물 내역.csv종가-5,런던 설탕 선물 내역.csv거래량-12,런던 설탕 선물 내역.csv변동 %-4,미국 설탕 No.11 선물 내역.csv종가-5,미국 설탕 No.11 선물 내역.csv거래량-4,미국 설탕 No.11 선물 내역.csv변동 %-4,원유 팜유 선물 내역.csv종가-1,원유 팜유 선물 내역.csv거래량-14,원유 팜유 선물 내역.csv변동 %-1
2013-03-01,512,[빙그레]메로나,485.0,503.3,94780.0,-3.16,17.66,959480.0,-3.92,455.5,34460.0,0.98
2013-04-01,485,[빙그레]메로나,486.0,503.3,94780.0,-3.16,17.66,959480.0,-3.92,455.5,34460.0,0.98
2013-05-01,486,[빙그레]메로나,488.0,503.3,94780.0,-3.16,17.66,959480.0,-3.92,464.9,34460.0,2.06
2013-06-01,488,[빙그레]메로나,458.0,503.3,94780.0,-3.16,17.66,959480.0,-3.92,480.5,34460.0,3.36
2013-07-01,458,[빙그레]메로나,458.0,503.3,94780.0,-3.16,17.66,959480.0,-3.92,502.5,34460.0,4.58
2013-08-01,458,[빙그레]메로나,455.0,503.3,94780.0,0.36,17.66,1060000.0,0.06,496.4,34460.0,-1.21
2013-09-01,455,[빙그레]메로나,476.0,505.1,94780.0,-5.5,17.67,1070000.0,-6.34,569.4,34460.0,14.71
2013-10-01,476,[빙그레]메로나,478.0,477.3,94780.0,5.24,16.55,1430000.0,-1.03,532.8,34460.0,-6.43
2013-11-01,478,[빙그레]메로나,483.0,502.3,94780.0,-2.31,16.38,1150000.0,3.6,556.5,34460.0,4.45
2013-12-01,483,[빙그레]메로나,485.0,490.7,94780.0,-2.61,16.97,1140000.0,-3.71,558.5,34460.0,0.36
2014-01-01,485,[빙그레]메로나,502.0,477.9,94780.0,1.72,16.34,1450000.0,6.98,540.6,34460.0,-3.21
2014-02-01,502,[빙그레]메로나,495.0,486.1,94780.0,-0.58,17.48,1320000.0,4.81,523.9,34460.0,-3.09
2014-03-01,495,[빙그레]메로나,488.0,483.3,94780.0,-3.99,18.32,888650.0,-6.39,590.1,34460.0,12.64
2014-04-01,488,[빙그레]메로나,498.0,464.0,107690.0,-3.23,17.15,952980.0,-4.31,569.6,34460.0,-3.47
2014-05-01,498,[빙그레]메로나,493.0,449.0,104060.0,-5.57,16.41,1200000.0,-5.24,556.7,34460.0,-2.26
2014-06-01,493,[빙그레]메로나,490.0,424.0,112830.0,12.33,15.55,1320000.0,5.92,525.0,32890.0,-5.69
2014-07-01,490,[빙그레]메로나,480.0,476.3,79330.0,-0.44,16.47,1270000.0,7.89,535.0,22070.0,1.9
