날짜,price,제품명,next_price,런던 소맥 선물 내역.csv종가-1,런던 소맥 선물 내역.csv거래량-3,런던 소맥 선물 내역.csv변동 %-4,미국 소맥 선물 내역.csv종가-11,미국 소맥 선물 내역.csv변동 %-10,팜유 USD 선물 내역.csv종가-11,팜유 USD 선물 내역.csv변동 %-10
2013-01-01,3099,[삼양식품]삼양라면,3102.0,212.3,70.0,3.43,781.63,0.4,756.5,-1.56
2013-02-01,3102,[삼양식품]삼양라면,3083.0,212.3,70.0,3.43,781.63,0.4,756.5,-1.56
2013-03-01,3083,[삼양식품]삼양라면,3078.0,202.65,70.0,3.43,781.63,0.4,756.5,-1.56
2013-04-01,3078,[삼양식품]삼양라면,3053.0,199.25,70.0,3.43,781.63,0.4,756.5,-1.56
2013-05-01,3053,[삼양식품]삼양라면,3089.0,193.5,230.0,3.43,781.63,0.4,756.5,-1.56
2013-06-01,3089,[삼양식품]삼양라면,3078.0,182.5,610.0,-4.55,781.63,0.4,756.5,-1.56
2013-07-01,3078,[삼양식품]삼양라면,3080.0,155.7,4350.0,-1.68,781.63,0.4,756.5,-1.56
2013-08-01,3080,[삼양식품]삼양라면,3078.0,164.25,130.0,-2.89,781.63,0.4,756.5,-1.56
2013-09-01,3078,[삼양식품]삼양라면,3081.0,157.5,1260.0,-5.68,781.63,0.4,756.5,-1.56
2013-10-01,3081,[삼양식품]삼양라면,3061.0,156.75,4240.0,-14.68,781.63,0.4,756.5,-1.56
2013-11-01,3061,[삼양식품]삼양라면,3074.0,164.5,10130.0,5.49,781.63,0.4,756.5,-1.56
2013-12-01,3074,[삼양식품]삼양라면,3078.0,164.5,8640.0,-4.11,781.63,-8.35,756.5,-1.56
2014-01-01,3078,[삼양식품]삼양라면,3091.0,163.75,6890.0,-0.48,716.38,-4.45,756.5,-1.56
2014-02-01,3091,[삼양식품]삼양라면,3099.0,149.5,440.0,4.94,684.5,6.68,756.5,-2.28
2014-03-01,3099,[삼양식품]삼양라면,3077.0,155.75,1860.0,0.0,730.25,-3.24,739.25,3.11
2014-04-01,3077,[삼양식품]삼양라면,3053.0,165.75,160.0,-0.46,706.63,-7.04,762.25,-2.98
2014-05-01,3053,[삼양식품]삼양라면,3063.0,168.45,100.0,-8.7,656.88,1.03,739.5,-4.39
2014-06-01,3063,[삼양식품]삼양라면,3068.0,147.0,720.0,4.18,663.63,-1.32,707.0,3.64
2014-07-01,3068,[삼양식품]삼양라면,3077.0,139.0,5880.0,6.42,654.88,3.7,732.75,-1.4
2014-08-01,3077,[삼양식품]삼양라면,3083.0,122.1,770.0,1.63,679.13,-1.73,722.5,15.05
2014-09-01,3083,[삼양식품]삼양라면,3084.0,121.8,940.0,-12.73,667.38,0.13,831.25,-2.38
2014-10-01,3084,[삼양식품]삼양라면,3081.0,107.7,9610.0,-5.44,668.25,-9.45,811.5,-1.14
2014-11-01,3081,[삼양식품]삼양라면,3082.0,118.5,9060.0,-12.16,605.13,-8.28,802.25,-4.95
2014-12-01,3082,[삼양식품]삼양라면,3088.0,131.8,8390.0,-0.25,555.0,8.18,762.5,13.08
2015-01-01,3088,[삼양식품]삼양라면,3078.0,133.4,4200.0,-11.58,600.38,16.11,862.25,-3.48
2015-02-01,3078,[삼양식품]삼양라면,3079.0,122.1,260.0,10.03,697.13,3.5,832.25,-0.99
2015-03-01,3079,[삼양식품]삼양라면,3081.0,116.8,400.0,11.22,721.5,-12.94,824.0,-8.37
2015-04-01,3081,[삼양식품]삼양라면,3091.0,120.5,80.0,1.21,628.13,-8.18,755.0,0.96
2015-05-01,3091,[삼양식품]삼양라면,3094.0,111.9,110.0,-8.47,576.75,-8.04,762.25,-4.43
