날짜,price,제품명,next_price,런던 소맥 선물 내역.csv종가-1,런던 소맥 선물 내역.csv거래량-3,런던 소맥 선물 내역.csv변동 %-1,미국 소맥 선물 내역.csv종가-1,미국 소맥 선물 내역.csv변동 %-10,팜유 USD 선물 내역.csv종가-1,팜유 USD 선물 내역.csv변동 %-14
2013-01-01,2782,[오뚜기]진라면 순한맛,2828.0,212.3,70.0,3.43,781.63,0.4,756.5,-1.56
2013-02-01,2828,[오뚜기]진라면 순한맛,2763.0,212.3,70.0,3.43,781.63,0.4,756.5,-1.56
2013-03-01,2763,[오뚜기]진라면 순한맛,2785.0,202.65,70.0,-4.55,716.38,0.4,756.5,-1.56
2013-04-01,2785,[오뚜기]진라면 순한맛,2788.0,199.25,70.0,-1.68,684.5,0.4,756.5,-1.56
2013-05-01,2788,[오뚜기]진라면 순한맛,2804.0,193.5,230.0,-2.89,730.25,0.4,739.25,-1.56
2013-06-01,2804,[오뚜기]진라면 순한맛,2813.0,182.5,610.0,-5.68,706.63,0.4,762.25,-1.56
2013-07-01,2813,[오뚜기]진라면 순한맛,2806.0,155.7,4350.0,-14.68,656.88,0.4,739.5,-1.56
2013-08-01,2806,[오뚜기]진라면 순한맛,2777.0,164.25,130.0,5.49,663.63,0.4,707.0,-1.56
2013-09-01,2777,[오뚜기]진라면 순한맛,2805.0,157.5,1260.0,-4.11,654.88,0.4,732.75,-1.56
2013-10-01,2805,[오뚜기]진라면 순한맛,2787.0,156.75,4240.0,-0.48,679.13,0.4,722.5,-1.56
2013-11-01,2787,[오뚜기]진라면 순한맛,2800.0,164.5,10130.0,4.94,667.38,0.4,831.25,-1.56
2013-12-01,2800,[오뚜기]진라면 순한맛,2792.0,164.5,8640.0,0.0,668.25,-8.35,811.5,-1.56
2014-01-01,2792,[오뚜기]진라면 순한맛,2796.0,163.75,6890.0,-0.46,605.13,-4.45,802.25,-1.56
2014-02-01,2796,[오뚜기]진라면 순한맛,2799.0,149.5,440.0,-8.7,555.0,6.68,762.5,-1.56
2014-03-01,2799,[오뚜기]진라면 순한맛,2790.0,155.75,1860.0,4.18,600.38,-3.24,862.25,-1.56
2014-04-01,2790,[오뚜기]진라면 순한맛,2809.0,165.75,160.0,6.42,697.13,-7.04,832.25,-1.56
2014-05-01,2809,[오뚜기]진라면 순한맛,2812.0,168.45,100.0,1.63,721.5,1.03,824.0,-1.56
2014-06-01,2812,[오뚜기]진라면 순한맛,2799.0,147.0,720.0,-12.73,628.13,-1.32,755.0,-2.28
2014-07-01,2799,[오뚜기]진라면 순한맛,2770.0,139.0,5880.0,-5.44,576.75,3.7,762.25,3.11
2014-08-01,2770,[오뚜기]진라면 순한맛,2798.0,122.1,770.0,-12.16,530.38,-1.73,728.5,-2.98
2014-09-01,2798,[오뚜기]진라면 순한맛,2784.0,121.8,940.0,-0.25,563.38,0.13,614.5,-4.39
2014-10-01,2784,[오뚜기]진라면 순한맛,2765.0,107.7,9610.0,-11.58,478.63,-9.45,680.25,3.64
2014-11-01,2765,[오뚜기]진라면 순한맛,2790.0,118.5,9060.0,10.03,531.25,-8.28,697.75,-1.4
2014-12-01,2790,[오뚜기]진라면 순한맛,2766.0,131.8,8390.0,11.22,578.38,8.18,634.75,15.05
2015-01-01,2766,[오뚜기]진라면 순한맛,2720.0,133.4,4200.0,1.21,589.88,16.11,655.25,-2.38
2015-02-01,2720,[오뚜기]진라면 순한맛,2736.0,122.1,260.0,-8.47,503.25,3.5,593.75,-1.14
2015-03-01,2736,[오뚜기]진라면 순한맛,2714.0,116.8,400.0,-4.34,512.0,-12.94,644.0,-4.95
2015-04-01,2714,[오뚜기]진라면 순한맛,2732.0,120.5,80.0,3.17,512.88,-8.18,576.75,13.08
2015-05-01,2732,[오뚜기]진라면 순한맛,2791.0,111.9,110.0,-7.14,475.38,-8.04,581.25,-3.48
2015-06-01,2791,[오뚜기]진라면 순한맛,2783.0,110.1,1130.0,-1.61,477.88,6.22,591.75,-0.99
2015-07-01,2783,[오뚜기]진라면 순한맛,2788.0,117.65,4090.0,6.86,616.63,-15.04,589.25,-8.37
2015-08-01,2788,[오뚜기]진라면 순한맛,2779.0,119.85,100.0,1.87,498.13,11.0,554.5,0.96
